airport_ident,length_ft,width_ft,surface,closed,le_ident,le_heading_degT,le_latitude_deg,le_longitude_deg,he_ident,he_heading_degT,he_latitude_deg,he_longitude_deg
FALY,3937,49,ASP,0,11,90,-28.5817,29.7436,29,270,-28.5817,29.7559
FAMB,4413,82,GVL,0,02,359,-25.6873,29.4419,20,179,-25.6751,29.4418
FAMB,5905,48,ASP,0,14,128,-25.6798,29.433,32,308,-25.6898,29.4474
FAMD,4145,75,ASP,0,16,141,-24.8137,31.5406,34,321,-24.8225,31.5486
FAMG,4495,100,ASP,0,05,22,-30.863,30.3403,23,202,-30.8518,30.3457
FAMI,3281,33,ASP,0,06,41,-24.9926,29.2798,24,221,-24.9857,29.2865
FAMJ,4921,49,ASP,0,14,123,-27.0756,29.7722,32,303,-27.0829,29.7849
FAMM,15157,148,ASP,0,04,23,-25.8176,25.539,22,203,-25.7792,25.557
FAMN,4101,,ASP,0,09,72,-25.4753,31.5599,27,252,-25.4721,31.5706
FAMO,3757,52,TAR,0,10,70,-34.1605,22.04989,28,250,-34.15696,22.06152
FAMS,5046,33,ASP,0,03,16.5,-25.7106,26.907,21,196.5,-25.6983,26.911
FAMU,6070,148,ASP,0,17,157,-27.6184,32.0406,35,337,-27.6337,32.048
FANC,4921,75,ASP,0,11,90,-27.7705,29.9692,29,270,-27.7707,29.9845
FANG,3658,30,,0,15,,,,33,,,
FANS,3419,,UNK,0,04,,,,22,,,
FANY,3970,56,ASP,0,10,85,-24.6865,28.4289,28,265,-24.6856,28.4409
FAOB,6926,131,ASP,0,10,75,-34.5595,20.2291,28,255,-34.5547,20.2513
FAOB,10220,151,ASP,0,17,145,-34.5544,20.2503,35,325,-34.5775,20.2695
FAOH,5577,98,ASP,0,04,13,-33.6144,22.187,22,193,-33.5995,22.191
FAOR,14495,200,ASP,0,03L,14,-26.1463,28.2343,21R,194,-26.108,28.2463
FAOR,11155,197,ASP,0,03R,14,-26.1647,28.2482,21L,194,-26.1352,28.2573
FAPA,3608,98,Grass,0,07,,,,25,,,
FAPA,4304,98,Grass,0,10C,,,,28C,,,
FAPA,5996,98,Grass,0,10L,,,,28R,,,
FAPA,3936,98,Grass,0,10R,,,,28L,,,
FAPA,2624,98,Grass,0,18,,,,36,,,
FAPE,7087,151,ASP,0,08,58,-33.993,25.6016,26,238,-33.9835,25.6199
FAPE,5502,151,ASP,0,17,146,-33.9838,25.6164,35,326,-33.9963,25.6266
FAPF,4498,,UNK,0,15,,,,33,,,
FAPG,4003,66,ASP,0,12,100,-34.0893,23.3213,30,280,-34.0912,23.3343
FAPH,4491,60,ASP,0,01,354,-23.9424,31.1567,19,174,-23.9301,31.1553
FAPI,7218,82,ASP,0,08,61,-23.9311,29.4747,26,241,-23.9211,29.4941
FAPJ,3610,100,ASP,0,09,64,-31.608,29.5146,27,244,-31.6037,29.5249
FAPL,2290,59,ASP,0,16,,,,34,,,
FAPM,5043,98,ASP,0,16,142,-29.6435,30.3937,34,322,-29.6544,30.4036
FAPN,9022,98,ASP,0,05,37,-25.3437,27.1653,23,217,-25.32402,27.18178
FAPP,8400,148,ASP,0,01,359,-23.8604,29.4589,19,179,-23.8373,29.4585
FAPP,7612,148,ASP,0,05,38,-23.8588,29.4473,23,218,-23.8422,29.4613
FAPS,4885,98,ASP,0,03,13,-26.6775,27.0803,21,193,-26.6645,27.0835
FAPS,3281,98,GRS,0,15,134.6,-26.6669,27.0809,33,314.6,-26.6732,27.088
FAPT,2559,65,,0,01,,,,19,,,
FAPT,3600,98,Hard Gravel,0,06,,,,24,,,
FAPT,2696,98,Hard Gravel,0,12,,,,30,,,
FAPX,3281,,Compacted Gravel,0,08,,,,26,,,
FAPY,4406,66,ASP,0,06,43,-26.8938,27.4988,24,223,-26.8849,27.5081
FAPY,2387,150,GRE,0,11,96,-26.8864,27.5002,29,276,-26.887,27.5074
FAQT,3937,66,Tar - lights 5 clicks on 124.8,0,12,95,-31.9198,26.8759,30,275,-31.9206,26.8885
FARB,4265,69,ASP,0,05,34,-28.7459,32.0884,23,214,-28.7362,32.0958
FARD,,,,0,14,,,,32,,,
FARG,4019,50,ASP,0,16,145,-25.6397,27.2675,34,325,-25.6489,27.2747
FARO,3728,,Grass,0,04,25,,,22,205,,
FARS,4921,49,ASP,0,10,80,-33.8124,19.9014,28,260,-33.81,19.918
FARS,2395,59,Grass,0,14,113,-33.8108,19.8988,32,293,-33.8133,19.9061
FASB,5213,66,ASP,0,10,74,-29.6913,17.9318,28,254,-29.6874,17.9474
FASC,3609,59,ASP,0,11,91,-26.524,29.1647,29,271,-26.5241,29.1756
FASD,4665,82,ASP,0,02,358,-32.9705,17.9696,20,178,-32.9576,17.969
FASE,4921,59,ASP,0,17,,,,35,,,
FASH,2492,,ASP,0,01,,,,19,,,
FASI,5249,59,ASP,0,03,16,-26.2555,28.3952,21,196,-26.2414,28.3998
FASI,,,Grassnow taxiway only!!,1,04,,,,22,,,
FASI,1818,70,GRE,0,14,118,-26.2481,28.3964,32,298,-26.2504,28.4013
FASK,6520,98,ASP,0,02,6,-25.8186,28.1636,20,186,-25.8008,28.1657
FASK,6589,147,GRE,0,06,49,-25.8151,28.1613,24,229,-25.8035,28.1759
FASR,3845,,Grass,0,05,,,,23,,,
FASR,3149,,Grass,0,10,,,,28,,,
FASS,5709,75,ASP,0,17,153,-27.6413,22.9952,35,333,-27.6559,23.0034
FASX,1800,150,GRE,0,06,40,-34.0513,20.4716,24,220,-34.0474,20.4754
FASX,3291,39,LAT,0,15,126,-34.0444,20.4682,33,306,-34.0491,20.476
FASZ,5085,98,ASP,0,17,156,-24.9546,31.5856,35,336,-24.9673,31.5919
FATA,3655,25,Tar,0,11,95,-26.3516,27.9628,29,275,-26.3525,27.9734
FATF,4920,33,ASP,0,03,10,-28.2668,22.9918,21,190,-28.2533,22.9945
FATF,3614,110,GVL,0,07,51,-28.2632,22.9846,25,231,-28.257,22.9934
FATF,4593,110,GVL,0,16,141,-28.2562,22.9823,34,321,-28.2659,22.991
FATP,4265,33,ASP,0,01,351,-29.0461,26.1604,19,171,-29.0345,26.1583
FATP,3937,49,ASP,0,10,78,-29.0314,26.1568,28,258,-29.0291,26.1689
FATT,4941,62,ASP,0,04,18,-26.783,29.3363,22,198,-26.7701,29.3412
FATZ,4659,66,ASP,0,06,49,-23.8285,30.3238,24,229,-23.8204,30.3348
FAUL,3395,59,ASP,1,02,4,-28.3242,31.4162,20,184,-28.3147,31.417
FAUL,5381,75,ASP,0,05,34,-28.3255,31.4127,23,214,-28.3132,31.4222
FAUP,7998,148,Asphalt,0,01,,,,19,,,
FAUP,2736,98,Asphalt,0,08,59,-28.4049,21.2581,26,239,-28.4012,21.2654
FAUP,16076,197,ASP,0,17,153,-28.3799,21.252,35,333,-28.4194,21.2744
FAUS,4440,56,ASP,0,18,,,,36,,,
FAUT,4921,98,GRE,0,09,69,-31.5471,28.6685,27,249,-31.5422,28.6835
FAUT,8530,148,ASP,0,14,113,-31.54164,28.66275,32,293,-31.55085,28.68788
FAVB,3937,66,ASP,0,18,164,-26.9772,24.7271,36,344,-26.9876,24.7304
FAVG,3035,72,ASP,0,05,28,-29.7743,31.0562,23,208,-29.7669,31.0606
FAVM,5085,49,ASP,0,08,71,-22.4504,29.3306,26,251,-22.4458,29.3449
FAVR,4265,59,COM,0,08,57,-31.6442,18.5391,26,237,-31.6377,18.5505
FAVV,5266,72,ASP,0,03,9,-26.5773,27.9588,21,189,-26.563,27.9613
FAVV,3724,52,ASP,0,15,125,-26.5633,27.956,33,305,-26.5693,27.9653
FAWA,3937,75,tar,0,03,,,,21,,,
FAWB,4200,72,ASP,0,06,44,-25.6623,28.2156,24,224,-25.654,28.2242
FAWB,5998,98,Asphalt,0,11,93,-25.65307,28.21278,29,273,-25.65382,28.23099
FAWI,4134,36,ASP,0,04,19,-25.8376,29.1899,22,199,-25.827,29.1941
FAWI,1000,30,dirt,0,09,,,,27,,,
FAWI,2500,,grass,0,17,,,,35,,,
FAWK,11001,148,ASP,0,01,352,-25.8441,28.2246,19,172,-25.8141,28.22
FAWK,6299,148,ASP,0,06,44,-25.8336,28.2187,24,224,-25.8213,28.2321
FAWM,6578,59,ASP,0,07,50,-28.0039,26.6618,25,230,-27.9921,26.6773
FAWN,2952,65,hard,0,05,,,,23,,,
FAWN,2296,,concrete,0,14,,,,32,,,
FAWT,4921,98,"Soil, rough gravel",0,15,136,,,33,316,,
FAWV,2132,,gravel,0,6,85,-25.31968,30.97078,24,265,-25.31569,30.97517
FAYP,5200,75,ASP,0,02,356,-33.9074,18.4989,20,176,-33.8931,18.4977
FAZR,6480,100,ASP,0,04,27,-25.6069,26.0379,22,207,-25.591,26.0467
FBFT,7218,98,ASP,0,11,97,-21.15833,27.46389,29,277,-21.16111,27.48472
FBFT,9843,148,ASP,0,13,121,-21.15048,27.45328,31,301,-21.16451,27.47798
FBFT,4147,72,GVL,1,16,147,-21.1615,27.483,34,327,-21.171,27.4898
FBGH,3148,59,Asphalt,0,08,,-25.4359,25.4032,26,,-25.4341,25.414
FBJW,5495,82,ASP,0,08,63,-24.6055,24.6835,26,243,-24.5992,24.6984
FBKD,3437,72,Dirt,0,09,,,,27,,,
FBKE,6562,98,ASP,0,08,71,-17.8358,25.1535,26,251,-17.8299,25.1713
FBKI,2861,59,Gravel,0,15,,-19.6128,23.0309,33,,-19.6206,23.0357
FBMN,6562,98,ASP,0,08,66,-19.9762,23.4224,26,246,-19.9689,23.4398
FBMU,4933,59,Asphalt,0,05,,-22.272,20.0259,23,,-22.2633,20.0371
FBNW,2007,66,gravel,0,11,,,,29,,,
FBNX,2562,59,Dirt,0,12,,-18.603,22.0696,30,,-18.607,22.077
FBSK,13123,148,CON,0,08,61.6,-24.5617,25.9052,26,241.6,-24.5488,25.9312
FBSN,5381,66,ASP,0,11,103,-20.5517,26.1081,29,283,-20.555,26.1234
FBSP,5840,98,ASP,0,12,102,-22.0567,27.8203,30,282,-22.06,27.8372
FBSV,7218,66,Dirt,0,04,,,,22,,,
FBSW,6102,,Asphalt,0,09,,-18.3739,21.8326,27,,-18.3739,21.8326
FBTL,4938,,ASP,0,12,,,,30,,,
FBTP,9850,148,ASP,0,08,64,-24.227,25.334,26,244,-24.2152,25.3606
FBTP,6585,60,ASP,0,08L,64,-24.2178,25.3321,26R,244,-24.2099,25.3499
FCBB,10827,148,ASP,0,05,50,-4.25882,15.24168,23,230,-4.23964,15.26446
FCBD,6725,98,ASP,0,04,,,,22,,,
FCOD,10827,150,CON,0,04,,,,22,,,
FCOE,6726,95,ASP,0,14,,,,32,,,
FCOM,5906,,UNK,0,07,,,,25,,,
FCOO,5905,98,ASP,0,09,79.4,-0.53283,15.9422,27,259.4,-0.52987,15.958
FCOU,6726,98,ASP,0,01,14,1.60706,16.0356,19,194,1.62504,16.0402
FCPL,6725,95,ASP,0,14,,,,32,,,
FCPP,8530,148,ASP,0,17,166,-4.80462,11.8838,35,346,-4.82743,11.8894
FD00,50,50,CONC,0,H1,,,,,,,
FD02,3000,130,TURF,0,16,,,,34,,,
FD03,1800,50,TURF,0,07,,,,25,,,
FD04,6247,150,TURF,0,18,,,,36,214,,
FD05,40,40,CONC,0,H1,,,,,,,
FD06,40,40,TURF,0,H1,,,,,267.3,,
FD07,405,120,CONC-TURF,0,H1,,,,,,,
FD08,5180,85,TURF,0,09,,,,27,226,,
FD09,3000,60,TURF,0,N,,,,S,,,
FD11,50,50,ASPH,0,H1,,,,,215,,
FD12,3000,100,WATER,0,15W,,,,33W,,,
FD14,3000,100,TURF,0,01,,,,19,0.3,,
FD15,2700,50,ASPH-G,0,09,,,,27,220,,
FD16,3000,75,TURF,0,18,,,,36,,,
FD17,25,25,CONC,0,H1,,,,,,,
FD18,54,54,CONC,0,H1,,,,,,,
FD19,70,63,ASPH,0,H1,,,,,284.4,,
FD20,3800,60,TURF,0,01,,,,19,,,
FD22,4600,50,ASPH-TURF-G,0,05,50,29.6628,-81.9606,23,239.9,29.671,-81.9495
FD24,2873,100,TURF,0,E,,,,W,,,
FD25,2000,100,TURF,0,N,,,,S,,,
FD26,1800,50,TURF,0,18,,,,36,,,
FD27,3250,66,TURF,0,09,,,,27,,,
FD28,100,42,CONC,0,H1,,,,,,,
FD29,3000,70,TURF-G,0,09,,,,27,315.3,,
FD30,2600,100,ASPH-TURF,0,09,,,,27,,,
FD31,2600,75,TURF,0,18,,,,36,,,
FD33,2600,100,TURF,0,18,,,,36,302.8,,
FD34,25,25,CONC,0,H1,,,,,,,
FD35,4200,175,TURF,0,18,,,,36,,,
FD36,50,50,ASPH,0,H1,,,,,351.3,,
FD37,2200,60,TURF,0,09,,,,27,,,
FD38,4055,75,ASP,0,16,,,,34,224,,
FD39,2345,100,TURF,0,14,,,,32,269.3,,
FD41,20,20,CONC,0,H1,,,,,,,
FD42,3500,100,TURF,0,09,,,,27,,,
FD44,3200,100,TURF,0,18,,,,36,196,,
FD44,3300,125,WATER,0,18W,,,,36W,250.4,,
FD45,40,40,CONC,0,H1,,,,,,,
FD46,17000,5000,WATER,0,13W,,,,31W,,,
FD47,55,55,CONC,0,H1,,,,,,,
FD48,6425,60,ASPH,0,18,180,30.2508,-81.4497,36,225,30.2331,-81.4497
FD49,4000,100,GRAVEL,0,E,,,,W,,,
FD50,3465,75,TURF,0,18,,,,36,,,
FD51,2550,20,ASPH,0,12,,,,30,235.9,,
FD52,60,60,CONC,0,H1,,,,,,,
FD53,2000,50,TURF-F,0,18,,,,36,,,
FD55,2190,100,TURF,0,09,,,,27,,,
FD56,75,75,ASPH,0,H1,,,,,253.5,,
FD57,1900,90,TURF,0,18,,,,36,360,,
FD58,60,60,CONC,0,H1,,,,,,,
FD60,25,25,CONC,0,H1,,,,,,,
FD61,2600,100,TURF,0,18,,,,36,,,
FD62,500,500,TURF,0,H1,,,,,,,
FD63,2600,200,TURF,0,18,,,,36,,,
FD64,50,50,CONC,0,H1,,,,,,,
FD64,80,56,ASPH,0,H2,,,,,288,,
FD65,15,15,TURF,0,H1,,,,,271,,
FD66,50,50,CONC,0,H1,,,,,,,
FD67,60,60,ASPH-G,0,H1,,,,,1,,
FD70,3875,66,TURF,0,15,,,,33,269,,
FD71,2400,100,TURF-G,0,18,,,,36,,,
FD72,2500,75,TURF-G,0,18,,,,36,267,,
FD74,2640,50,TURF,0,18,,,,36,242,,
FD76,60,60,TURF,0,H1,,,,,,,
FD77,2700,100,TURF-G,0,09,,,,27,332.7,,
FD78,2000,100,WATER,0,17,,,,35,,,
FD79,2800,100,WATER,0,09,,,,27,,,
FD80,2400,100,WATER,0,18,,,,36,,,
FD81,1800,50,TURF-G,0,09,,,,27,,,
FD83,1900,100,TURF-G,0,15,,,,33,,,
FD84,2350,50,TURF-G,0,09,,,,27,,,
FD85,70,45,CONC,0,H1,,,,,,,
FD86,2800,100,TURF,0,05,,,,23,1.8,,
FD87,58,58,CONC,0,H1,,,,,,,
FD88,3150,50,TURF,0,09,,,,27,218,,
FD89,2600,100,TURF,0,09,,,,27,201.2,,
FD90,3200,200,TURF,0,15,,,,33,,,
FD91,68,68,ASPH,0,H1,,,,,,,
FD92,2120,50,TURF,0,11,,,,29,,,
FD93,2550,200,TURF,0,09,,,,27,,,
FD94,1400,50,TURF,0,09,,,,27,,,
FD96,1500,80,TURF,0,18,,,,36,,,
FD97,48,48,CONC,0,H1,,,,,,,
FD98,5000,2000,WATER,0,09,,,,27,,,
FD99,33,33,CONC,0,H1,,,,,,,
FDMS,8530,148,ASP,0,07,53,-26.536,31.297,25,233,-26.522,31.318
FDNS,3970,59,GVL,0,03,12,-26.9925,31.9359,21,192,-26.9818,31.9384
FDSK,11811,197,ASP,0,02,,,,20,,,
FEFF,8530,148,ASP,0,16,165,4.40983,18.5159,34,345,4.38712,18.5217
FEFN,4921,,UNK,0,17,,,,35,,,
FEFR,5906,,UNK,0,14,,,,32,,,
FEFT,5446,98,ASP,0,17,167,4.22909,15.7847,35,347,4.21407,15.7881
FEFY,3920,,GRS,0,08,,,,26,,,
FEW,30,30,CONC-G,0,H1,,,,,306,,
FGAB,6177,100,CON,0,05,,,,23,,,
FGBT,10860,200,ASP,0,03,,,,21,,,
FGBT,7001,148,ASP,1,04,41,1.89866,9.79977,22,221,1.91227,9.81159
FGMY,9843,148,ASP,0,18,,,,36,,,
FGSL,9647,151,CON,0,04,42,3.74541,8.69991,22,222,3.76513,8.71753
FHAW,10019,150,ASP,0,13,117,-7.96341,-14.406,31,297,-7.97578,-14.3813
FHK,1800,50,ASPH,0,H1,,,,,273.1,,
FHK,1800,50,ASPH,0,H2,,,,,257.4,,
FHK,1800,50,ASPH,0,H3,,,,,192,,
FHK,1800,50,ASPH,0,H4,,,,,333.4,,
FHK,1800,50,ASPH,0,H5,,,,,360,,
FHK,1800,50,ASPH,0,H6,,,,,233.9,,
FHSH,6398,148,ASP,0,01,359,-15.96604,-5.64577,19,179,-15.94844,-5.64619
FI-0018,3360,98,ASP,1,09,96,60.2519,25.0384,27,276,60.2509,25.0567
FI-0018,4396,98,ASP,0,18,186,60.2605,25.0441,36,6,60.2486,25.0415
FI-0019,3937,59,ASP,0,05,50,61.7701,24.018,23,230,61.7766,24.036
FIMP,11056,148,ASP,0,14,117,-20.42331,57.66919,32,297,-20.43715,57.69795
FIMR,4223,98,ASP,0,12,106,-19.7561,63.3551,30,286,-19.7592,63.3669
FJ-0004,538,164,water,0,01,,-18.21636,177.72457,19,,-18.21502,177.72523
FJDG,12003,200,CON,0,13,121.7,-7.30457,72.397,31,301.7,-7.32196,72.4252
FKKB,5906,,UNK,0,03,,,,21,,,
FKKC,4512,151,ASP,0,05,43,4.08468,9.35627,23,223,4.0937,9.36479
FKKD,9350,148,ASP,0,12,117,4.01187,9.70804,30,297,4.00024,9.73098
FKKF,4495,,UNK,0,08,,,,26,,,
FKKI,6234,,UNK,0,02,,,,20,,,
FKKL,6890,148,ASP,0,13,130,10.4574,14.25,31,310,10.4454,14.2648
FKKM,6889,148,ASP,0,04,38,5.62941,10.745,22,218,5.64443,10.7566
FKKN,8858,148,ASP,0,02,22,7.34599,13.5547,20,202,7.36803,13.5637
FKKR,11032,148,ASP,0,09,86,9.3349,13.3548,27,266,9.33688,13.3854
FKKU,8203,148,ASP,0,15,147,5.54641,10.3484,33,327,5.52743,10.3607
FKKV,8202,148,ASP,0,17,171,6.05042,10.1209,35,351,6.02806,10.1244
FKKY,6519,148,ASP,0,03,24,3.82784,11.5198,21,204,3.84423,11.5271
FKYS,11155,148,ASP,0,01,10,3.70741,11.5506,19,190,3.7377,11.5559
FL00,3000,100,TURF,0,17,,,,35,,,
FL01,3125,50,TURF,0,14,,,,32,357.2,,
FL02,2480,100,TURF,0,13,,,,31,358.5,,
FL04,5000,4000,WATER,0,08,,,,26,,,
FL07,2163,100,TURF,0,10,,,,28,,,
FL08,1800,100,TURF,0,18,,,,36,,,
FL09,2600,150,TURF,0,11,,,,29,,,
FL10,2668,50,TURF,0,09,,,,27,320,,
FL10,3375,50,TURF,0,18,,,,36,311,,
FL11,1800,95,TURF,0,09,,,,27,,,
FL12,5400,100,TURF,0,12,,,,30,,,
FL13,2800,75,TURF,0,09,,,,27,,,
FL16,3000,50,TURF,0,18,,,,36,,,
FL17,3300,75,TURF,0,18,,,,36,239.4,,
FL18,2600,100,TURF,0,E,,,,W,,,
FL19,3900,65,TURF,0,18,,,,36,320,,
FL20,150,150,CON,0,H1,,,,,,,
FL21,2000,300,TURF,0,H1,,,,,316,,
FL22,45,60,CONC,0,H1,,,,,359.5,,
FL24,40,40,CONC,0,H1,,,,,,,
FL27,3175,150,TURF,0,05,,,,23,293.7,,
FL28,4856,100,TURF,0,15,,,,33,225,,
FL29,4000,40,TURF,0,09,,,,27,,,
FL30,60,60,ASPH-G,0,H1,,,,,315,,
FL31,1350,100,TURF,0,18,,,,36,360,,
FL32,60,60,CONC,0,H1,,,,,,,
FL33,1950,85,TURF,0,09,,,,27,,,
FL34,4629,80,ASPH,0,18,181,30.6405,-86.7426,36,1,30.6267,-86.7429
FL35,3000,75,TURF,0,03,,,,21,,,
FL37,4000,100,TURF,0,09,,,,27,330.6,,
FL38,80,40,CONC,0,H1,,,,,,,
FL38,40,40,CONC,0,H2,,,,,,,
FL39,100,100,CONC-G,0,H1,,,,,290,,
FL41,3700,60,ASPH,0,09,90,26.5811,-80.7617,27,315,26.5811,-80.7503
FL42,4500,4500,WATER,0,ALL,,,,WAY,,,
FL43,2400,150,TURF,0,15,,,,33,,,
FL44,250,135,TURF,0,H1,,,,,316,,
FL45,24,24,CONC,0,H1,,,,,1,,
FL48,1300,150,TURF,0,09U,,,,27U,,,
FL49,40,40,TURF,0,H1,,,,,,,
FL50,3513,150,TURF,0,12,,,,30,,,
FL51,40,40,ASPH,0,H1,,,,,289.4,,
FL52,2000,100,TURF,0,01,,,,19,,,
FL53,24,24,CONC,0,H1,,,,,359.2,,
FL54,5000,60,TURF,0,09,,,,27,,,
FL54,4000,175,TURF,0,18,,,,36,194.9,,
FL55,4000,1000,WATER,0,09W,,,,27W,,,
FL58,3543,40,TURF,0,18,,,,36,,,
FL59,2726,400,CONC,0,06,60,26.6324,-81.7158,24,266.7,26.6361,-81.7086
FL59,4416,75,CONC,0,14,140,26.6477,-81.7143,32,359.9,26.6391,-81.7064
FL60,5000,240,ASPH-P,0,05,45,29.9675,-81.6664,23,229,29.9772,-81.6553
FL61,3365,60,TURF,0,09,,,,27,,,
FL61,2650,60,TURF,0,18,,,,36,,,
FL62,2100,100,TURF,0,09,,,,27,,,
FL64,46,46,Turf,0,H1,,,,,,,
FL66,1965,100,TURF,0,18,,,,36,,,
FL67,3000,36,ASPH,0,09,90,27.2778,-80.5906,27,221.6,27.2778,-80.5814
FL68,65,65,CONC,0,H1,,,,,308.5,,
FL69,50,50,TURF,0,H1,,,,,332,,
FL70,36,36,CONC,0,H1,,,,,,,
FL71,100,100,CONC,0,H1,,,,,,,
FL72,4000,600,WATER,0,05W,,,,23W,,,
FL74,2567,150,TURF,0,17,,,,35,235,,
FL75,3464,100,TURF-G,0,11,,,,29,359.9,,
FL77,1835,100,TURF,0,14,,,,32,,,
FL78,2000,90,TURF,0,09,,,,27,,,
FL80,3000,100,TURF,0,18,,,,36,331,,
FL81,1800,125,TURF,0,N,,,,S,,,
FL82,3000,75,TURF,0,07,,,,25,293,,
FL84,2000,100,TURF,0,05,,,,23,283,,
FL85,52,52,CONC,0,H1,,,,,,,
FL86,2000,60,CONC-TURF,0,09,,,,27,,,
FL87,50,50,ASPH,0,H1,,,,,190,,
FL88,3700,100,TURF,0,E,,,,W,,,
FL90,1800,100,TURF,0,E,,,,W,,,
FL91,3721,150,TURF,0,08,,,,26,,,
FL92,50,50,CONC,0,H1,,,,,,,
FL93,36,36,ASPH,0,H1,,,,,355.8,,
FL94,60,60,CONC,0,H1,,,,,,,
FL95,2200,70,TURF,0,18,,,,36,,,
FL96,45,45,CON,0,H1,,,,,,,
FL97,2600,100,TURF,0,09,,,,27,,,
FL98,50,50,CONC,0,H1,,,,,,,
FL99,2640,300,TURF,0,18,,,,36,,,
FLCP,4823,,UNK,0,18,,,,36,,,
FLIK,4400,,Dirt,0,15,150,,,33,330,,
FLJK,3232,92,,0,07,,,,25,,,
FLKE,4698,75,ASP,0,11,104,-12.5712,27.8879,29,284,-12.5744,27.9007
FLKJ,3100,,,0,,,,,,,,
FLKS,6148,,Gravel,0,13,,,,31,,,
FLLC,6594,83,ASP,0,08,72.1,-15.4166,28.3217,26,252.1,-15.411,28.3397
FLLI,9843,151,ASP,0,10,94,-17.8209,25.8097,28,274,-17.8223,25.8312
FLLI,4501,98,Dirt,0,15,140,-17.8121,25.8139,33,320,-17.8215,25.8224
FLLS,12998,150,ASP,0,10,95.2,-15.3292,28.4343,28,275.2,-15.3324,28.4709
FLLS,2700,100,GRS,0,15,140.6,-15.3234,28.4595,33,320.6,-15.3291,28.4644
FLMF,7349,148,ASP,0,09,83,-13.2602,31.9265,27,263,-13.2576,31.9466
FLMG,4800,69,BRI,0,09,85,-15.2551,23.1553,27,265,-15.254,23.1693
FLND,8250,150,CON,0,10L,90.5,-12.9973,28.654,28R,270.5,-12.9976,28.6773
FLND,4000,75,CON,0,10R,90.4,-12.9987,28.6586,28L,270.4,-12.9989,28.6698
FLRZ,5574,,,0,08,,,,26,,,
FLSK,11483,148,ASP,0,09,,-12.96189,28.50011,27,,-12.9617,28.53236
FLSO,6562,100,ASP,0,11,105.7,-12.898,28.1409,29,285.7,-12.9029,28.1588
FLSW,8858,120,ASP,0,08,,,,26,,,
FLT,4045,90,TURF-GRVL-P,0,08,,,,26,231.2,,
FM43,8211,148,PEM,0,13,127,-12.2493,49.245,31,307,-12.2629,49.2634
FMBI,,,ASP,0,03,,,,21,,,
FMCH,9514,148,ASP,0,02,10,-11.5466,43.2696,20,190,-11.5207,43.2741
FMCI,4265,98,ASP,0,13,123,-12.2949,43.7614,31,303,-12.3013,43.7714
FMCV,4429,92,ASP,0,10,94.9,-12.131,44.4242,28,274.9,-12.132,44.4365
FMCZ,6330,92,ASP,0,16,150,-12.8022,45.2779,34,330,-12.8167,45.2865
FMEE,10499,148,ASP,0,12,102,-20.886,55.5046,30,282,-20.8921,55.5347
FMEE,8760,148,ASP,0,14,116,-20.8842,55.5042,32,296,-20.895,55.5272
FMEP,7000,150,ASP,0,15,129,-21.3166,55.4193,33,309,-21.3252,55.4306
FMMA,8237,148,ASP,0,12,106,-19.0257,47.1604,30,286,-19.0323,47.1832
FMME,4921,150,ASP,0,05,,,,23,,,
FMMI,10171,148,ASP,0,11,99,-18.7948,47.4643,29,279,-18.7991,47.4933
FMMN,3609,98,ASP,0,16,147.7,-19.5586,45.4481,34,327.7,-19.567,45.4537
FMMS,3451,98,ASP,0,01,353.9,-17.099,49.8167,19,173.9,-17.0895,49.8156
FMMT,7218,131,ASP,0,01,354,-18.1194,49.3937,19,174,-18.0996,49.3914
FMMV,4921,98,ASP,0,10,88,-20.2849,44.3148,28,268,-20.2843,44.3291
FMMV,4413,115,ASP,0,14,124,-20.2811,44.3117,32,304,-20.2878,44.3224
FMMZ,3937,,grass,0,12,,,,30,,,
FMNA,4921,98,ASP,0,13,124,-12.3456,49.2861,31,304,-12.3532,49.2974
FMNC,4101,82,ASP,0,11,98,-16.1633,49.7679,29,278,-16.1645,49.7796
FMND,4153,98,ASP,0,02,5.4,-14.6572,49.62,20,185.4,-14.6458,49.6211
FMNE,4921,98,ASP,0,11,103,-13.1869,48.9813,29,283,-13.19,48.9947
FMNH,3914,89,ASP,0,18,163,-14.9943,50.3186,36,343,-15.0046,50.3219
FMNL,3937,72,COP,0,11,101,-14.6287,47.7583,29,281,-14.6307,47.7693
FMNM,7218,148,ASP,0,14,132,-15.6605,46.3442,32,312,-15.6738,46.3594
FMNN,7185,148,ASP,0,05,43,-13.3193,48.3079,23,223,-13.3048,48.3217
FMNQ,4046,66,BIT,0,08,72,-16.7435,44.4759,26,252,-16.7401,44.4869
FMNR,4265,98,ASP,0,14,128.4,-15.4342,49.6836,32,308.4,-15.4414,49.6931
FMNS,4577,98,ASP,0,16,151.9,-14.2739,50.1717,34,331.9,-14.285,50.1778
FMNV,4236,82,ASP,0,14,132,-13.3719,49.9983,32,312,-13.3797,50.0072
FMNW,4921,98,ASP,0,01,2,-14.9055,47.9936,19,182,-14.892,47.9942
FMNZ,4450,44,ASP,0,15,140,-13.4801,48.6287,33,320,-13.4895,48.6367
FMSD,5280,98,ASP,0,08,53,-25.0434,46.9505,26,233,-25.0351,46.9622
FMSF,4101,82,ASP,0,08,62,-21.4442,47.1064,26,242,-21.4389,47.117
FMSG,3445,82,ASP,0,13,108,-22.8038,47.8157,31,288,-22.8067,47.8255
