iata,icao,name,lat,lon
VAO,AGGV,Suavanao Airport,-7.5856,158.7310
XYA,AGGY,Yandina Airport,-9.0928,159.2184
AGK,AGK,Kagua Airport,-6.3964,143.8536
KGE,AGKG,Kaghau Airport,-7.3305,157.5850
KUE,AGKU,Kukudu Airport,-8.0262,156.9478
KWS,AGKW,Kwailabesi Airport,-8.3605,160.7751
LLM,AGLM,Lomlom Airport,-10.2968,166.3273
NAZ,AGNA,Nana Airport,-10.6758,162.2049
MHM,AGOB,Manaoba Airport,-8.3250,160.8005
GTA,AGOK,Gatokae Aerodrome,-8.7384,158.2028
RIN,AGRC,Ringi Cove Airport,-8.1264,157.1430
RBV,AGRM,Ramata Airport,-8.1681,157.6430
TLG,AGTI,Tulaghi Heliport,-9.1080,160.1492
AHY,AHY,Ambatolhy Airport,-20.0158,45.5350
AIC,AIP,Ailinglaplap Airok Airport,7.2794,168.8257
CEX,AK13,Chena Hot Springs Airport,65.0518,-146.0470
SOL,AK26,Solomon State Field,64.5605,-164.4457
HED,AK33,Herendeen Bay Airport,55.8023,-160.9013
TWE,AK49,Taylor Airport,65.6793,-164.7990
KTH,AK56,Tikchik Lodge Seaplane Base,59.9632,-158.4770
NKI,AK62,Naukati Bay Seaplane Base,55.8496,-133.2280
CDL,AK75,Candle 2 Airport,65.9077,-161.9260
AOS,AK81,Amook Bay Seaplane Base,57.4715,-153.8150
BSW,AK97,Boswell Bay Airport,60.4231,-146.1460
AKM,AKM,Zakuoma Airport,10.8903,19.8172
ALZ,ALZ,Alitak Seaplane Base,56.8973,-154.2497
YUK,UDCK,Syunik Airport,39.2023,46.4552
AME,AME,Alto Molocue Airport,-15.6103,37.6814
AMY,FMMB,Ambatomainty Airport,-17.6867,45.6239
INU,ANYN,Nauru International Airport,-0.5479,166.9195
ANZ,ANZ,Angus Downs Airport,-25.0325,132.2748
CTV,AO-0001,Catoca Airport,-9.4314,20.3116
ANL,AO-0005,Andulo Airport,-11.4723,16.7109
CNZ,AO-CNZ,Cangamba Airport,-13.7106,19.8611
DRC,AO-DRC,Dirico Airport,-17.9819,20.7681
NDF,AO-NDF,N'dalatando Airport,-9.2804,14.9824
AOB,AOB,Annanberg Airport,-4.9042,144.6358
AOD,AOD,Abou-Deïa Airport,11.4773,19.2874
APP,APP,Asapa Airport,-8.9792,148.1036
AQY,AQY,Girdwood-Alyeska Airport,60.9688,-149.1198
QRF,AR-0005,Bragado Airport,-35.1458,-60.4803
CVI,AR-0007,Caleta Olivia Airport,-46.3743,-67.5941
CNT,AR-0009,Charata Airport,-27.2164,-61.2103
VGS,AR-0010,General Villegas Airport,-34.9957,-62.9997
LMD,AR-0011,Los Menucos Airport,-40.8177,-68.0747
VCF,AR-0017,Valcheta Airport,-40.7000,-66.1500
CPG,AR-0390,Carmen de Patagones Airport,-40.7781,-62.9803
ARP,ARP,Aragip Airport,-9.8833,149.4833
ASZ,ASZ,Asirim Airport,-6.0097,150.3686
WFR,AT98,[Duplicate] Wolf's Fang Runway,-71.5264,8.7995
LYT,YLTT,Lady Elliot Island Airstrip,-24.1129,152.7156
GYZ,YGRM,Gruyere Airport,-28.0345,123.8151
AGW,AU-AGW,Agnew Airport,-12.1456,142.1494
AYD,AU-AYD,Alroy Downs Airport,-19.2908,136.0790
BYX,AU-BYX,Baniyala Airport,-13.1981,136.2270
COB,AU-COB,Coolibah Airport,-15.5483,130.9620
CRJ,AU-CRJ,Coorabie Airport,-31.8944,132.2960
CRY,AU-CRY,Carlton Hill Airport,-15.5019,128.5340
CSD,AU-CSD,Cresswell Downs Airport,-17.9480,135.9160
