iata,icao,name,lat,lon
SQW,EKSV,Skive Airport,56.5502,9.1730
TED,EKTS,Thisted Airport,57.0688,8.7052
FAE,EKVG,Vágar Airport,62.0633,-7.2758
STA,EKVJ,Stauning Vestjylland  Airport,55.9901,8.3539
AAL,EKYT,Aalborg Airport,57.0948,9.8499
LUX,ELLX,Luxembourg-Findel International Airport,49.6268,6.2121
EMR,EMR,El Mirador Heliport,17.7521,-89.9249
AES,ENAL,Ålesund Airport,62.5604,6.1108
ANX,ENAN,Andøya Airport  Andenes,69.2952,16.1394
ALF,ENAT,Alta Airport,69.9761,23.3717
FDE,ENBL,Førde Airport  Bringeland,61.3911,5.7569
BNN,ENBN,Brønnøysund Airport  Brønnøy,65.4611,12.2175
BOO,ENBO,Bodø Airport,67.2692,14.3653
BGO,ENBR,Bergen Airport  Flesland,60.2934,5.2181
BJF,ENBS,Båtsfjord Airport,70.6003,29.6926
BVG,ENBV,Berlevåg Airport,70.8715,29.0341
KRS,ENCN,Kristiansand Airport,58.2042,8.0854
BDU,ENDU,Bardufoss Airport,69.0558,18.5404
EVE,ENEV,Harstad/Narvik Airport,68.4913,16.6781
FRO,ENFL,Florø Airport,61.5836,5.0247
OSL,ENGM,Oslo-Gardermoen International Airport,60.1939,11.1004
HMR,ENHA,Hamar Lufthavn  Stavsberg,60.8181,11.0680
HAU,ENHD,Haugesund Airport  Karmøy,59.3453,5.2084
HFT,ENHF,Hammerfest Airport,70.6797,23.6686
HAA,ENHK,Hasvik Airport,70.4867,22.1397
HVG,ENHV,Honningsvåg Airport  Valan,71.0097,25.9836
KSU,ENKB,Kristiansund Airport  Kvernberget,63.1118,7.8245
GLL,ENKL,Gol Airport,60.7911,9.0487
KKN,ENKR,Kirkenes Airport  Høybuktmoen,69.7258,29.8913
LKN,ENLK,Leknes Airport,68.1525,13.6094
MEH,ENMH,Mehamn Airport,71.0297,27.8267
MOL,ENML,Molde Airport  Årø,62.7447,7.2625
MJF,ENMS,Mosjøen Airport  Kjærstad,65.7840,13.2149
LKL,ENNA,Lakselv Airport  Banak,70.0688,24.9735
OSY,ENNM,Namsos Airport,64.4722,11.5786
NTB,ENNO,Notodden Airport,59.5651,9.2132
OLA,ENOL,Ørland Airport,63.6989,9.6040
HOV,ENOV,Ørsta-Volda Airport  Hovden,62.1800,6.0741
MQN,ENRA,Mo i Rana Airport  Røssvoll,66.3639,14.3014
RVK,ENRM,Rørvik Airport  Ryum,64.8383,11.1461
RRS,ENRO,Røros Airport,62.5784,11.3423
RET,ENRS,Røst Airport,67.5265,12.1016
LYR,ENSB,Svalbard Airport  Longyear,78.2461,15.4656
SDN,ENSD,Sandane Airport  Anda,61.8300,6.1058
SOG,ENSG,Sogndal Airport  Haukåsen,61.1561,7.1378
SVJ,ENSH,Svolvær Airport  Helle,68.2433,14.6692
SKN,ENSK,Stokmarknes Airport  Skagen,68.5788,15.0334
SRP,ENSO,Stord Airport  Sørstokken,59.7919,5.3408
SOJ,ENSR,Sørkjosen Airport,69.7868,20.9594
VAW,ENSS,Vardø Airport  Svartnes,70.3554,31.0449
SSJ,ENST,Sandnessjøen Airport  Stokka,65.9568,12.4689
TOS,ENTC,Tromsø Airport,69.6833,18.9189
TRF,ENTO,Sandefjord Airport  Torp,59.1867,10.2586
TRD,ENVA,Trondheim Airport  Værnes,63.4578,10.9240
VDS,ENVD,Vadsø Airport,70.0653,29.8447
VRY,ENVR,Værøy Heliport,67.6546,12.7273
SVG,ENZV,Stavanger Airport  Sola,58.8767,5.6378
BZG,EPBY,Ignacy Jan Paderewski Bydgoszcz Airport,53.0968,17.9777
GDN,EPGD,Gdańsk Lech Wałęsa Airport,54.3776,18.4662
KRK,EPKK,Kraków John Paul II International Airport,50.0777,19.7848
KTW,EPKT,Katowice Wojciech Korfanty International Airport,50.4760,19.0807
LUZ,EPLB,Lublin Airport,51.2402,22.7135
LCJ,EPLL,Łódź Władysław Reymont Airport,51.7219,19.3981
WMI,EPMO,Warsaw Modlin Airport,52.4511,20.6518
POZ,EPPO,Poznań-Ławica Airport,52.4216,16.8234
RDO,EPRA,Warsaw Radom Airport,51.3894,21.2147
RZE,EPRZ,Rzeszów-Jasionka Airport,50.1098,22.0242
SZZ,EPSC,Solidarity Szczecin–Goleniów Airport,53.5847,14.9022
SZY,EPSY,Olsztyn-Mazury Airport,53.4819,20.9377
WAW,EPWA,Warsaw Chopin Airport,52.1657,20.9671
WRO,EPWR,Copernicus Wrocław Airport,51.1037,16.8821
IEG,EPZG,Zielona Góra-Babimost Airport,52.1385,15.7986
ERT,ERT,Erdenet Airport,48.9831,104.1506
RNB,ESDF,Ronneby Airport,56.2667,15.2650
GOT,ESGG,Göteborg Landvetter Airport,57.6628,12.2798
JKG,ESGJ,Jönköping Airport,57.7576,14.0687
LDK,ESGL,Lidköping-Hovby Airport,58.4655,13.1744
GSE,ESGP,Säve Airport,57.7747,11.8704
KVB,ESGR,Skövde Airport,58.4564,13.9727
THN,ESGT,Trollhättan-Vänersborg Airport,58.3181,12.3450
KSK,ESKK,Karlskoga Airport,59.3459,14.4959
MXX,ESKM,Mora Airport,60.9579,14.5114
NYO,ESKN,Stockholm Skavsta Airport,58.7897,16.9115
SCR,ESKS,Scandinavian Mountains Airport,61.1651,12.8335
KID,ESMK,Kristianstad Airport,55.9217,14.0855
OSK,ESMO,Oskarshamn Airport,57.3505,16.4980
KLR,ESMQ,Kalmar Airport,56.6855,16.2876
MMX,ESMS,Malmö Sturup Airport,55.5356,13.3763
HAD,ESMT,Halmstad Airport,56.6911,12.8202
VXO,ESMX,Växjö Kronoberg Airport,56.9291,14.7280
EVG,ESND,Sveg Airport,62.0478,14.4229
GEV,ESNG,Gällivare Airport,67.1324,20.8146
KRF,ESNK,Kramfors-Sollefteå Höga Kusten Airport,63.0486,17.7689
LYC,ESNL,Lycksele Airport,64.5483,18.7162
SDL,ESNN,Sundsvall-Härnösand Airport,62.5281,17.4439
OER,ESNO,Örnsköldsvik Airport,63.4083,18.9900
KRN,ESNQ,Kiruna Airport,67.8220,20.3368
SFT,ESNS,Skellefteå Airport,64.6248,21.0769
UME,ESNU,Umeå Airport,63.7918,20.2828
VHM,ESNV,Vilhelmina South Lapland Airport,64.5791,16.8336
AJR,ESNX,Arvidsjaur Airport,65.5903,19.2819
SOO,ESNY,Söderhamn Airport,61.2615,17.0991
OSD,ESNZ,Åre Östersund Airport,63.1935,14.5042
ORB,ESOE,Örebro Airport,59.2237,15.0380
HFS,ESOH,Hagfors Airport,60.0201,13.5789
KSD,ESOK,Karlstad Airport,59.4447,13.3374
VST,ESOW,Stockholm Västerås Airport,59.5894,16.6336
LLA,ESPA,Luleå Airport,65.5438,22.1220
ARN,ESSA,Stockholm-Arlanda Airport,59.6485,17.9288
BMA,ESSB,Stockholm-Bromma Airport,59.3544,17.9417
BLE,ESSD,Dala Airport,60.4220,15.5152
HLF,ESSF,Hultsfred Airport,57.5258,15.8233
GVX,ESSK,Gävle Sandviken Airport,60.5933,16.9514
LPI,ESSL,Linköping City Airport,58.4049,15.6845
NRK,ESSP,Norrköping Airport,58.5863,16.2506
TYF,ESST,Torsby Airport,60.1576,12.9913
EKT,ESSU,Eskilstuna Airport,59.3511,16.7084
VBY,ESSV,Visby Airport,57.6628,18.3462
VVK,ESSW,Västervik Airport,57.7800,16.5236
AGH,ESTA,Ängelholm-Helsingborg Airport,56.2961,12.8471
SQO,ESUD,Storuman Airport,64.9609,17.6966
IDB,ESUE,Idre Airport,61.8697,12.6894
PJA,ESUP,Pajala Airport,67.2446,23.0749
HMV,ESUT,Hemavan Airport,65.8061,15.0828
GLC,ET-GLC,Geladi Airport,6.9844,46.4214
SHC,HASR,Shire Inda Selassie Airport,14.0757,38.2736
SPM,ETAD,Spangdahlem Air Base,49.9765,6.6984
RMS,ETAR,Ramstein Air Base,49.4369,7.6003
FRZ,ETHF,Fritzlar Army Airfield,51.1146,9.2860
ILH,ETIK,Illesheim Army Heliport,49.4739,10.3881
KZG,ETIN,Kitzingen Airfield,49.7443,10.2073
FCN,ETMN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,53.7677,8.6592
GKE,ETNG,Geilenkirchen Air Base,50.9608,6.0424
RLG,ETNL,Rostock-Laage Airport,53.9182,12.2783
WBG,ETNS,Schleswig Air Base,54.4593,9.5163
WIE,ETOU,Wiesbaden Army Airfield,50.0498,8.3254
IGS,ETSI,Ingolstadt Manching Airport,48.7157,11.5340
LPX,EVLA,Liepāja International Airport,56.5175,21.0969
RIX,EVRA,Riga International Airport,56.9208,23.9707
VNT,EVVA,Ventspils International Airport,57.3578,21.5442
EXI,EXI,Excursion Inlet Seaplane Base,58.4205,-135.4490
KUN,EYKA,Kaunas International Airport,54.9640,24.0858
PLQ,EYPA,Palanga International Airport,55.9732,21.0939
PNV,EYPP,Panevėžys Air Base,55.7294,24.4608
SQQ,EYSA,Šiauliai International Airport,55.8939,23.3950
VNO,EYVI,Vilnius International Airport,54.6341,25.2858
RGR,F23,Ranger Municipal Airport,32.4526,-98.6828
ALJ,FAAB,Alexander Bay Airport,-28.5750,16.5333
AGZ,FAAG,Aggeneys Airport,-29.2818,18.8139
ADY,FAAL,Alldays Airport,-22.6790,29.0555
BIY,FABE,Bisho Airport,-32.8971,27.2791
BFN,FABL,Bram Fischer International Airport,-29.0927,26.3024
UTE,FABU,Bultfontein Airport,-28.2734,26.1358
ASS,FAAR,Arathusa Safari Lodge Airport,-24.7405,31.5180
CDO,FACD,Cradock Airport,-32.1567,25.6456
CPT,FACT,Cape Town International Airport,-33.9740,18.6043
DUK,FADK,Mubatuba Airport,-28.3684,32.2481
PZL,FADQ,Zulu Inyala Airport,-27.8494,32.3097
ELS,FAEL,King Phalo Airport,-33.0356,27.8259
EMG,FAEM,Empangeni Airport,-28.7200,31.8900
ELL,FAER,Ellisras Matimba Airport,-23.7267,27.6883
FCB,FAFB,Ficksburg Sentraoes Airport,-28.8231,27.9089
GCJ,FAGC,Grand Central Airport,-25.9863,28.1401
GRJ,FAGG,George Airport,-34.0056,22.3789
GIY,FAGI,Giyani Airport,-23.2833,30.6500
QRA,FAGM,Rand Airport,-26.2425,28.1512
HLW,FAHL,Hluhluwe Airport,-28.0166,32.2752
HRS,FAHR,Harrismith Airport,-28.2351,29.1062
HDS,FAHS,Eastgate Airport / Air Force Base Hoedspruit,-24.3619,31.0529
KXE,FAKD,P C Pelser Airport,-26.8711,26.7180
KIM,FAKM,Kimberley Airport,-28.8054,24.7649
MQP,FAKN,Kruger Mpumalanga International Airport,-25.3833,31.1053
KOF,FAKP,Komatipoort Airport,-25.4403,31.9300
KMH,FAKU,Johan Pienaar Airport,-27.4566,23.4119
KLZ,FAKZ,Kleinsee Airport,-29.6884,17.0940
HLA,FALA,Lanseria International Airport,-25.9390,27.9266
LMR,FALC,Lime Acres Finsch Mine Airport,-28.3601,23.4391
LDZ,FALD,Londolozi Airport,-24.7478,31.4743
DUR,FALE,King Shaka International Airport,-29.6144,31.1197
LCD,FALO,Louis Trichardt Airport,-23.0619,29.8647
SDB,FALW,Langebaanweg Airport,-32.9689,18.1603
LAY,FALY,Ladysmith Airport,-28.5817,29.7497
AAM,FAMD,Malamala Airport,-24.8169,31.5441
MGH,FAMG,Margate Airport,-30.8574,30.3430
MEZ,FAMH,Musina(Messina) Airport,-22.3557,29.9862
MBD,FAMM,Mmabatho International Airport,-25.7984,25.5480
LLE,FAMN,Malelane Airport,-25.4736,31.5659
MZY,FAMO,Mossel Bay Airport,-34.1587,22.0557
MZQ,FAMU,Mkuze Airport,-27.6261,32.0443
NCS,FANC,Newcastle Airport,-27.7706,29.9769
NGL,FANG,Ngala Airport,-24.3890,31.3260
NLP,FANS,Nelspruit Airport,-25.5000,30.9138
OVG,FAOB,Overberg Airport,-34.5635,20.2524
OUH,FAOH,Oudtshoorn Airport,-33.6070,22.1890
JNB,FAOR,O.R. Tambo International Airport,-26.1401,28.2468
AFD,FAPA,Port Alfred Airport,-33.5551,26.8817
PLZ,FAPE,Chief Dawid Stuurman International Airport,-33.9897,25.6174
PBZ,FAPG,Plettenberg Bay Airport,-34.0882,23.3287
PHW,FAPH,Hendrik Van Eck Airport,-23.9372,31.1554
JOH,FAPJ,Port St Johns Airport,-31.6061,29.5218
PRK,FAPK,Prieska Airport,-29.6836,22.7706
PZB,FAPM,Pietermaritzburg Airport,-29.6490,30.3987
NTY,FAPN,Pilanesberg International Airport,-25.3338,27.1734
PTG,FAPP,Polokwane International Airport,-23.8453,29.4586
PCF,FAPS,Potchefstroom Airport,-26.6710,27.0819
UTW,FAQT,Queenstown Airport,-31.9202,26.8822
RCB,FARB,Richards Bay Airport,-28.7410,32.0921
RVO,FARI,Reivilo Airport,-27.5472,24.1725
ROD,FARS,Robertson Airport,-33.8122,19.9028
SBU,FASB,Springbok Airport,-29.6893,17.9396
ZEC,FASC,Secunda Airport,-26.5241,29.1701
GSS,FASE,Sabi Sabi Airport,-24.9474,31.4488
SIS,FASS,Sishen Airport,-27.6486,22.9993
SZK,FASZ,Skukuza Airport,-24.9609,31.5886
THY,FATH,Thohoyandou Airport,-23.0769,30.3836
TCU,FATN,Thaba Nchu Tar Airport,-29.3178,26.8228
LTA,FATZ,Tzaneen Airport,-23.8244,30.3293
ULD,FAUL,Prince Mangosuthu Buthelezi Airport,-28.3206,31.4165
UTN,FAUP,Upington Airport,-28.4002,21.2636
ULX,FAUS,Ulusaba Airport,-24.7854,31.3549
UTT,FAUT,K. D. Matanzima Airport,-31.5464,28.6734
VRU,FAVB,Vryburg Airport,-26.9824,24.7288
VIR,FAVG,Virginia Airport,-29.7706,31.0584
VRE,FAVR,Vredendal Airport,-31.6410,18.5448
VYD,FAVY,Vryheid Airport,-27.7869,30.7964
PRY,FAWB,Wonderboom Airport,-25.6539,28.2242
WKF,FAWK,Waterkloof Air Force Base,-25.8300,28.2225
WEL,FAWM,Welkom Airport,-27.9968,26.6633
FRW,FBPM,Phillip Gaonwe Matante International Airport,-21.1592,27.4688
GNZ,FBGZ,Ghanzi Airport,-21.6925,21.6581
JWA,FBJW,Jwaneng Airport,-24.6023,24.6910
BBK,FBKE,Kasane International Airport,-17.8317,25.1662
KHW,FBKR,Khwai River Lodge Airport,-19.1495,23.7879
MUB,FBMN,Maun International Airport,-19.9705,23.4314
ORP,FBOR,Orapa Airport,-21.2659,25.3197
GBE,FBSK,Sir Seretse Khama International Airport,-24.5552,25.9182
SXN,FBSN,Sua Pan Airport,-20.5534,26.1158
PKW,FBSP,Selebi Phikwe Airport,-22.0583,27.8288
SVT,FBSV,Savuti Airport,-18.5185,24.0777
SWX,FBSW,Shakawe Airport,-18.3739,21.8326
TLD,FBTL,Tuli Lodge Airport,-22.1919,29.1312
TBY,FBTS,Tshabong Airport,-26.0345,22.4013
BZV,FCBB,Maya-Maya International Airport,-4.2517,15.2530
DJM,FCBD,Djambala Airport,-2.5169,14.7544
KNJ,FCBK,Kindamba Airport,-3.7498,14.4903
LCO,FCBL,Lague Airport,-2.4500,14.5330
MUY,FCBM,Mouyondzi Airport,-4.0149,13.9661
SIB,FCBS,Sibiti Airport,-3.6866,13.3740
NKY,FCBY,Yokangassi Airport,-4.2231,13.2863
ANJ,FCBZ,Zanaga Airport,-2.8467,13.8212
MSX,FCMM,Mossendjo Airport,-2.9500,12.7000
BOE,FCOB,Boundji Airport,-1.0310,15.3360
OLL,FCOD,Oyo Ollombo Airport,-1.2267,15.9100
EWO,FCOE,Ewo Airport,-0.8830,14.8000
GMM,FCOG,Gamboma Airport,-1.8294,15.8852
ION,FCOI,Impfondo Airport,1.5900,18.0466
KEE,FCOK,Kelle Airport,-0.0713,14.5066
MKJ,FCOM,Makoua Airport,-0.0208,15.5777
FTX,FCOO,Owando Airport,-0.5246,15.9378
SOE,FCOS,Souanke Airport,1.9983,14.1742
BTB,FCOT,Betou Airport,3.0576,18.5144
OUE,FCOU,Ouesso Airport,1.6160,16.0379
KMK,FCPA,Makabana Airport,-3.4830,12.6170
DIS,FCPD,Ngot Nzoungou Airport,-4.2063,12.6599
PNR,FCPP,Antonio Agostinho-Neto International Airport,-4.8160,11.8866
MTS,FDMS,Matsapha International Airport,-26.5289,31.3076
SHO,FDSK,King Mswati III International Airport,-26.3586,31.7169
CRF,FEFC,Carnot Airport,4.9370,15.8940
BGF,FEFF,Bangui M'Poko International Airport,4.3985,18.5188
BGU,FEFG,Bangassou Airport,4.7850,22.7810
IRO,FEFI,Birao Airport,10.2364,22.7169
BBY,FEFM,Bambari Airport,5.8470,20.6499
NDL,FEFN,N'Délé Airport,8.4272,20.6352
BOP,FEFO,Bouar Airport,5.9580,15.6370
BIV,FEFR,Bria Airport,6.5278,21.9894
BSN,FEFS,Bossangoa Airport,6.4920,17.4290
BBT,FEFT,Berbérati Airport,4.2216,15.7864
ODA,FEFW,Ouadda Airport,8.0106,22.3986
AIG,FEFY,Yalinga Airport,6.5200,23.2600
IMO,FEFZ,Zemio Airport,5.0022,25.1019
MKI,FEGE,M'Boki Airport,5.3330,25.9319
BTG,FEGF,Batangafo Airport,7.3141,18.3088
GDI,FEGL,Gordil Airport,9.5811,21.7282
BMF,FEGM,Bakouma Airport,5.6940,22.8010
ODJ,FEGO,Ouanda Djallé Airport,8.9000,22.7830
RFA,FEGR,Rafaï Airport,4.9886,23.9278
BCF,FEGU,Bouca Airport,6.5170,18.2670
BOZ,FEGZ,Bozoum Airport,6.3442,16.3219
NBN,FGAN,Annobón Airport,-1.4086,5.6242
BSG,FGBT,Bata International Airport,1.9055,9.8057
GEM,FGMY,President Obiang Nguema International Airport,1.6764,11.0249
SSG,FGSL,Malabo International Airport,3.7553,8.7087
ASI,FHAW,RAF Ascension Island,-7.9702,-14.3927
HLE,FHSH,Saint Helena International Airport,-15.9589,-5.6461
MRU,FIMP,Sir Seewoosagur Ramgoolam International Airport,-20.4302,57.6836
RRG,FIMR,Sir Charles Gaetan Duval Airport,-19.7567,63.3593
KVU,FJ-0004,Korolevu Seaplane Base,-18.2156,177.7298
NKW,FJDG,Naval Support Facility Diego Garcia,-7.3133,72.4111
KBI,FKKB,Kribi Airport,2.8739,9.9778
TKC,FKKC,Tiko Airport,4.0892,9.3605
DLA,FKKD,Douala International Airport,4.0061,9.7195
MMF,FKKF,Mamfe Airport,5.7042,9.3064
BLC,FKKG,Bali Airport,5.8953,10.0339
KLE,FKKH,Kaélé Airport,10.0925,14.4456
OUR,FKKI,Batouri Airport,4.4750,14.3625
GXX,FKKJ,Yagoua Airport,10.3561,15.2372
MVR,FKKL,Salak Airport,10.4514,14.2574
FOM,FKKM,Foumban Nkounja Airport,5.6369,10.7508
NGE,FKKN,N'Gaoundéré Airport,7.3570,13.5592
BTA,FKKO,Bertoua Airport,4.5486,13.7261
GOU,FKKR,Garoua International Airport,9.3348,13.3721
DSC,FKKS,Dschang Airport,5.4500,10.0670
BFX,FKKU,Bafoussam Airport,5.5369,10.3546
BPC,FKKV,Bamenda Airport,6.0392,10.1226
EBW,FKKW,Ebolowa Airport,2.8760,11.1850
YAO,FKKY,Yaoundé Ville Airport,3.8360,11.5235
NSI,FKYS,Yaoundé Nsimalen International Airport,3.7226,11.5533
MMQ,FLBA,Mbala Airport,-8.8592,31.3364
CIP,FLCP,Chipata Airport,-13.5583,32.5872
CGX,FLCU,Chunga Airstrip,-15.0540,25.9857
JEK,FLJK,Jeki Airport,-15.6334,29.6036
CGJ,FLKE,Kasompe Airport,-12.5728,27.8939
KLB,FLKL,Kalabo Airport,-14.9988,22.6484
KMZ,FLKO,Kaoma Airport,-14.8000,24.7830
KAA,FLKS,Kasama Airport,-10.2102,31.1230
ZKB,FLKY,Kasaba Bay Airport,-8.5250,30.6630
LVI,FLHN,Harry Mwanga Nkumbula International Airport,-17.8215,25.8196
LXU,FLLK,Lukulu Airport,-14.3759,23.2486
LUN,FLKK,Kenneth Kaunda International Airport,-15.3308,28.4527
MNS,FLMA,Mansa Airport,-11.1370,28.8726
MFU,FLMF,Mfuwe International Airport,-13.2589,31.9366
MNR,FLMG,Mongu Airport,-15.2545,23.1623
ZGM,FLNA,Ngoma Airport,-15.9658,25.9333
RYL,FLRZ,Royal Zambezi Lodge Airstrip,-15.7248,29.3035
NLA,FLSK,Simon Mwansa Kapwepwe International Airport,-12.9651,28.5156
SXG,FLSN,Senanga Airport,-16.1130,23.2982
KIW,FLSO,Southdowns Airport,-12.9005,28.1499
SJQ,FLSS,Sesheke Airport,-17.4763,24.3061
SLI,FLSW,Solwesi Airport,-12.1737,26.3651
FLT,FLT,Flat Airport,62.4526,-157.9890
BBZ,FLZB,Zambezi Airport,-13.5360,23.1056
ULI,FM-ULI,Ulithi Airport,10.0198,139.7900
HAH,FMCH,Prince Said Ibrahim International Airport,-11.5337,43.2719
NWA,FMCI,Mohéli Bandar Es Eslam Airport,-12.2981,43.7665
AJN,FMCV,Ouani Airport,-12.1310,44.4300
DZA,FMCZ,Dzaoudzi Pamandzi International Airport,-12.8093,45.2818
RUN,FMEE,Roland Garros Airport,-20.8901,55.5189
ZSE,FMEP,Saint-Pierre Pierrefonds Airport,-21.3194,55.4225
OHB,FMFE,Ambohibary Airport,-18.9175,48.2182
WML,FMMC,Malaimbandy Airport,-20.3554,45.5434
ATJ,FMME,Antsirabe Airport,-19.8392,47.0637
WAQ,FMMG,Antsalova Airport,-18.7013,44.6149
VVB,FMMH,Mahanoro Airport,-19.8330,48.8000
TNR,FMMI,Ivato International Airport,-18.7969,47.4788
JVA,FMMK,Ankavandra Airport,-18.8050,45.2735
BMD,FMML,Belo sur Tsiribihina Airport,-19.6867,44.5419
ZVA,FMMN,Miandrivazo Airport,-19.5628,45.4508
MXT,FMMO,Maintirano Airport,-18.0500,44.0330
ILK,FMMQ,Atsinanana Airport,-19.5830,48.8030
TVA,FMMR,Morafenobe Airport,-17.8501,44.9205
SMS,FMMS,Sainte Marie Airport,-17.0939,49.8158
TMM,FMMT,Toamasina Ambalamanasy Airport,-18.1135,49.3923
WTA,FMMU,Tambohorano Airport,-17.4761,43.9728
MOQ,FMMV,Morondava Airport,-20.2847,44.3176
WTS,FMMX,Tsiroanomandidy Airport,-18.7597,46.0541
VAT,FMMY,Vatomandry Airport,-19.3833,48.9500
WAM,FMMZ,Ambatondrazaka Airport,-17.7954,48.4426
DIE,FMNA,Arrachart Airport,-12.3494,49.2917
WBE,FMNB,Ankaizina Airport,-14.5443,48.6914
WMR,FMNC,Mananara Nord Airport,-16.1639,49.7738
ZWA,FMND,Andapa Airport,-14.6517,49.6206
AMB,FMNE,Ambilobe Airport,-13.1884,48.9880
WBD,FMNF,Avaratra Airport,-15.2000,48.4830
WPB,FMNG,Port Bergé Airport,-15.5843,47.6236
ANM,FMNH,Antsirabe Airport,-14.9994,50.3202
HVA,FMNL,Analalava Airport,-14.6295,47.7636
MJN,FMNM,Amborovy Airport,-15.6668,46.3512
NOS,FMNN,Nosy Be International Airport,-13.3121,48.3148
DWB,FMNO,Soalala Airport,-16.1017,45.3588
WMP,FMNP,Mampikony Airport,-16.0719,47.6430
BPY,FMNQ,Besalampy Airport,-16.7445,44.4825
WMN,FMNR,Maroantsetra Airport,-15.4377,49.6891
SVB,FMNS,Sambava Airport,-14.2786,50.1747
TTS,FMNT,Tsaratanana Airport,-16.7511,47.6190
VOH,FMNV,Vohemar Airport,-13.3758,50.0028
WAI,FMNW,Ambalabe Airport,-14.8988,47.9939
WMA,FMNX,Mandritsara Airport,-15.8460,48.8347
IVA,FMNZ,Ampampamena Airport,-13.4848,48.6327
WBO,FMSB,Antsoa Airport,-21.6070,45.1360
WMD,FMSC,Mandabe Airport,-21.0463,44.9404
FTU,FMSD,Tôlanaro Airport,-25.0381,46.9561
WFI,FMSF,Fianarantsoa Airport,-21.4416,47.1117
RVA,FMSG,Farafangana Airport,-22.8053,47.8206
IHO,FMSI,Ihosy Airport,-22.4047,46.1649
MJA,FMSJ,Manja Airport,-21.4261,44.3165
WVK,FMSK,Manakara Airport,-22.1197,48.0217
OVA,FMSL,Bekily Airport,-24.2357,45.3045
MNJ,FMSM,Mananjary Airport,-21.2018,48.3583
TDV,FMSN,Samangoky Airport,-21.7000,43.7330
MXM,FMSR,Morombe Airport,-21.7538,43.3748
TLE,FMST,Toliara Airport,-23.3834,43.7285
VND,FMSU,Vangaindrano Airport,-23.3508,47.5817
BKU,FMSV,Betioky Airport,-23.7330,44.3890
AMP,FMSY,Ampanihy Airport,-24.6997,44.7342
WAK,FMSZ,Ankazoabo Airport,-22.2964,44.5315
AZZ,FNAM,Ambriz Airport,-7.8622,13.1161
SSY,FNBC,Mbanza Congo Airport,-6.2699,14.2470
BUG,FNBG,Benguela Airport,-12.6090,13.4037
NBJ,FNBJ,Dr. Antonio Agostinho Neto International Airport,-9.0507,13.4991
GGC,FNBL,Lumbala Airport,-14.1051,21.4508
CAB,FNCA,Cabinda Airport,-5.5984,12.1881
CFF,FNCF,Cafunfo Airport,-8.7836,17.9897
PGI,FNCH,Chitato Airport,-7.3589,20.8047
KNP,FNCP,Kapanda Airport,-9.7694,15.4553
CBT,FNCT,Catumbela Airport,-12.4792,13.4869
CTI,FNCV,Cuito Cuanavale Airport,-15.1603,19.1561
CXM,FNCX,Camaxilo Airport,-8.3736,18.9236
CAV,FNCZ,Cazombo Airport,-11.8931,22.9162
FND,FND,Funadhoo Airport,6.1624,73.2875
DUE,FNDU,Dundo Airport,-7.4009,20.8185
VPE,FNGI,Ngjiva Pereira Airport,-17.0435,15.6838
NOV,FNHU,Albano Machado Airport,-12.8089,15.7605
SVP,FNKU,Kuito Airport,-12.4046,16.9474
LLT,FNLB,Lobito Airport,-12.3712,13.5366
LBZ,FNLK,Lucapa Airport,-8.4423,20.7327
LAD,FNLU,Quatro de Fevereiro International Airport,-8.8584,13.2312
LZM,FNLZ,Luzamba Airport,-9.1160,18.0493
MEG,FNMA,Malanje Airport,-9.5251,16.3124
SPP,FNME,Menongue Airport,-14.6576,17.7198
MSZ,FNMO,Welwitschia Mirabilis International Airport,-15.2612,12.1468
GXG,FNNG,Negage Airport,-7.7545,15.2877
PBN,FNPA,Porto Amboim Airport,-10.7220,13.7655
VHC,FNSA,Saurimo Airport,-9.6891,20.4319
SZA,FNSO,Soyo Airport,-6.1411,12.3718
NDD,FNSU,Sumbe Airport,-11.1679,13.8475
UAL,FNUA,Luau Airport,-10.7158,22.2311
SDD,FNUB,Lubango Mukanka International Airport,-14.9248,13.5767
LUO,FNUE,Luena Airport,-11.7681,19.8977
UGO,FNUG,Uige Airport,-7.6031,15.0278
CEO,FNWK,Waco Kungo Airport,-11.4264,15.1014
XGN,FNXA,Xangongo Airport,-16.7554,14.9653
ARZ,FNZE,N'zeto Airport,-7.2593,12.8624
NZA,FNZG,Nzagi Airport,-7.7169,21.3582
AKE,FOGA,Akieni Airport,-1.1397,13.9036
BGB,FOGB,Booue Airport,-0.1075,11.9438
KDN,FOGE,Ndende Airport,-2.4000,11.3670
FOU,FOGF,Fougamou Airport,-1.2783,10.6125
MBC,FOGG,M'Bigou Airport,-1.8931,11.9125
MGX,FOGI,Moabi Airport,-2.4552,10.9358
KDJ,FOGJ,Ville Airport,-0.1830,10.7500
KOU,FOGK,Koulamoutou Mabimbi Airport,-1.1846,12.4413
MJL,FOGM,Mouilla Ville Airport,-1.8451,11.0567
OYE,FOGO,Oyem Airport,1.5431,11.5814
OKN,FOGQ,Okondja Airport,-0.6652,13.6731
LBQ,FOGR,Lambarene Airport,-0.7044,10.2457
MVX,FOGV,Minvoul Airport,2.1524,12.1080
AWE,FOGW,Alowe Airport,-0.5450,9.4440
BMM,FOOB,Bitam Airport,2.0756,11.4932
MFF,FOOD,Moanda Airport,-1.5266,13.2513
MKB,FOOE,Mekambo Airport,0.9767,13.9685
