ident,icao_code,iata_code
AYEW,AYEW,SWE
AYFA,AYFA,FNE
AYFE,,FRQ
AYFF,AYFF,
AYFI,AYFI,FIN
AYFR,AYFR,FAQ
AYFU,AYFU,FUM
AYGA,AYGA,GKA
AYGC,AYGC,GEW
AYGF,AYGF,GUG
AYGG,AYGG,GRL
AYGI,AYGI,GAR
AYGJ,AYGJ,GAZ
AYGL,AYGL,GOE
AYGN,AYGN,GUR
AYGP,AYGP,GAP
AYGR,AYGR,PNP
AYGS,AYGS,GBC
AYGT,AYGT,GMI
AYGU,AYGU,AKG
AYGV,AYGV,GVI
AYGX,AYGX,GOC
AYHB,AYHB,HBD
AYHE,AYHE,HNI
AYHF,AYHF,HYF
AYHH,AYHH,HNN
AYHK,AYHK,HKN
AYHO,AYHO,HIT
AYHU,AYHU,HWA
AYIA,AYIA,IIS
AYID,AYID,IDN
AYII,AYII,IMN
AYIM,AYIM,KGM
AYIO,AYIO,IMD
AYIQ,AYIQ,KIE
AYIU,,IAL
AYIW,AYIW,WSA
AYIX,AYIX,WIU
AYIY,AYIY,MPX
AYJO,AYJO,KGH
AYJS,AYJS,JOP
AYKA,AYKA,LSA
AYKB,AYKB,KBM
AYKC,AYKC,KDR
AYKD,AYKD,KMF
AYKG,AYKG,KPA
AYKH,AYKH,KAQ
AYKI,AYKI,UNG
AYKJ,AYKJ,KNE
AYKK,AYKK,KRI
AYKM,AYKM,KMA
AYKO,AYKO,KKD
AYKQ,AYKQ,KGW
AYKR,AYKR,KRX
AYKT,AYKT,KZF
AYKU,AYKU,KUQ
AYKV,AYKV,KVG
AYKW,AYKW,KWO
AYKY,AYKY,LNV
AYLB,AYLB,LAB
AYLG,AYLG,KEG
AYLI,AYLI,KII
AYLL,AYLL,LGN
AYLN,AYLN,LNM
AYLO,AYLO,LWI
AYLP,AYLP,LPN
AYLS,AYLS,LNG
AYLT,AYLT,LNC
AYLU,AYLU,LMI
AYLX,AYLX,LSJ
AYM,,AYM
AYMA,AYMA,MRM
AYMB,AYMB,OBM
AYMC,AYMC,MYX
AYMD,AYMD,MAG
AYMH,AYMH,HGU
AYMI,AYMI,MXK
AYMJ,AYMJ,MPG
AYML,AYML,GUV
AYMN,AYMN,MDU
AYMO,AYMO,MAS
AYMP,AYMP,MLQ
AYMQ,AYMQ,MQO
AYMR,AYMR,MXH
AYMS,AYMS,MIS
AYMV,AYMV,MKN
AYMW,AYMW,MWG
AYMZ,AYMZ,MPU
AYNA,AYNA,NKN
AYNB,AYNB,KEX
AYNC,AYNC,NDN
AYND,AYND,AUI
AYNE,AYNE,GBF
AYNG,,MFO
AYNI,AYNI,NUG
AYNJ,AYNJ,NDI
AYNM,AYNM,KSB
AYNN,AYNN,KDP
AYNO,AYNO,NMN
AYNS,AYNS,BXZ
AYNU,AYNU,UKU
AYNX,AYNX,ATN
AYNY,AYNY,NBA
AYNZ,AYNZ,LAE
AYOB,AYOB,OBX
AYOE,AYOE,KGB
AYOF,AYOF,OKV
AYOG,AYOG,OGE
AYOJ,AYOJ,OKP
AYOK,AYOK,HOC
AYOL,AYOL,KQL
AYOM,AYOM,OSE
AYOO,AYOO,KOM
AYOP,AYOP,KSP
AYOQ,AYOQ,KCJ
AYOV,AYOV,OLQ
AYOW,AYOW,KDE
AYOY,,OPB
AYPB,AYPB,PLE
AYPC,AYPC,PGB
AYPD,AYPD,PDI
AYPE,AYPE,APR
AYPG,AYPG,PGN
AYPJ,AYPJ,PMP
AYPO,AYPO,MPF
AYPQ,AYPQ,PMN
AYPU,,WLU
AYPY,AYPY,POM
AYQA,AYQA,KRJ
AYQL,AYQL,TLP
AYQO,AYQO,SPH
AYQQ,AYQQ,ONB
AYQS,AYQS,SXA
AYRA,AYRA,KIQ
AYRE,AYRE,RBP
AYRG,AYRG,RMN
AYRI,AYRI,KMR
AYRK,AYRK,RKU
AYRM,AYRM,MWI
AYRO,AYRO,KOR
AYRV,,MRH
AYSA,AYSA,SBE
AYSD,AYSD,SDI
AYSE,AYSE,NIS
AYSF,AYSF,SFU
AYSG,AYSG,SIL
AYSH,AYSH,SBV
AYSJ,AYSJ,SIM
AYSK,AYSK,SGK
AYSL,AYSL,SXH
AYSO,AYSO,SBC
AYSP,AYSP,SMH
AYSQ,,SPV
AYSS,AYSS,TDS
AYSU,AYSU,SKC
AYSV,AYSV,SXW
AYSW,AYSW,SWG
AYSX,AYSX,MBV
AYTA,AYTA,TIZ
AYTB,AYTB,TBG
AYTE,AYTE,TFM
AYTF,AYTF,TDB
AYTG,AYTG,TGL
AYTH,AYTH,TFB
AYTI,AYTI,TPI
AYTK,AYTK,RAB
AYTN,AYTN,TKW
AYTO,AYTO,KDQ
AYTP,AYTP,TEP
AYTR,AYTR,TBQ
AYTS,AYTS,TSW
AYTT,AYTT,TRJ
AYTU,AYTU,TFI
AYTV,AYTV,TBE
AYTW,AYTW,TWY
AYTY,AYTY,TEO
AYTZ,AYTZ,TKB
AYUC,AYUC,UMC
AYUE,AYUE,URU
AYUI,AYUI,UBI
AYUM,AYUM,AUV
AYUP,AYUP,GLP
AYUR,AYUR,UPR
AYUY,AYUY,KUX
AYUZ,AYUZ,UVO
AYVL,AYVL,TLW
AYVM,AYVM,TCJ
AYVN,AYVN,VAI
AYVO,AYVO,TON
AYVW,AYVW,WUV
AYWB,AYWB,WAO
AYWC,AYWC,WTT
AYWD,AYWD,WBM
AYWF,AYWF,WAJ
AYWG,AYWG,AGL
AYWH,AYWH,WNU
AYWJ,AYWJ,WBC
AYWK,AYWK,WWK
AYWO,AYWO,WOA
AYWQ,AYWQ,WKN
AYWS,AYWS,WSU
AYWT,AYWT,WTP
AYWU,AYWU,WUG
AYXE,AYXE,YVD
AYXI,AYXI,SMJ
AYXO,AYXO,TLO
AYXP,AYXP,WPM
AYXW,AYXW,WEP
AYY,,AYY
AYYE,AYYE,KYX
AYYK,AYYK,YEQ
AYYL,AYYL,TCK
AYYM,AYYM,LNF
AYYO,AYYO,RAX
AYYP,AYYP,KPE
AYYR,AYYR,KSX
AYZA,AYZA,ZEN
AYZI,AYZI,SWR
AYZM,,WUM
AYZN,AYZN,SIZ
AYZS,AYZS,OSG
AZ-0001,UBTT,ZXT
AZ-0002,UBBH,
AZ-0003,UBEI,
AZ-0004,UBEN,
AZ-0010,UBEY,
AZ-0014,UBLL,
AZ-0017,UBBM,
AZ-0022,UBBP,
AZ-0023,UBBC,
AZ15,,HAE
AZB,,AZB
BA-0001,LQCG,
BA-0002,LQBZ,
BAJ,,BAJ
BCW,,BCW
BCZ,,BCZ
BE-0052,EBLB,
BG-0013,LBDM,
BG-0025,LBBB,
BG-0028,LBBL,
BG-0031,LBDR,
BG-0032,LBBR,
BG-JAM,,JAM
BGAA,BGAA,JEG
BGAG,,AOQ
BGAM,,AGM
BGAP,,LLU
BGAQ,,QUV
BGAR,,JRK
BGAS,,QUW
BGAT,,QGQ
BGBW,BGBW,UAK
BGCH,BGCH,JCH
BGCO,BGCO,CNP
BGET,,QFG
BGFD,,QFN
BGGD,,JGR
BGGH,BGGH,GOH
BGGN,,JGO
BGIA,,IKE
BGIG,BGIG,QFI
BGIK,,QRY
BGIL,,XIQ
BGIN,,IUI
BGIS,,IOQ
BGIT,,QJI
BGJH,,JJU
BGJN,BGJN,JAV
BGKA,,QPW
BGKK,BGKK,KUS
BGKM,,KUZ
BGKQ,,KHQ
BGKS,,KGQ
BGKT,,QJE
BGLL,,IOT
BGMQ,BGMQ,JSU
BGNN,,JNN
BGNQ,,JUU
BGNS,,JNS
BGNT,,NIQ
BGNU,,NSQ
BGPT,BGPT,JFR
BGQE,,PQT
BGQQ,BGQQ,NAQ
BGQT,,QJH
BGSC,,OBY
BGSF,BGSF,SFJ
BGSG,BGSG,SGG
BGSI,BGSI,SRK
BGSO,BGSO,QOQ
BGSQ,BGSQ,
BGSS,BGSS,JHS
BGST,BGST,SAE
BGSV,BGSV,SVR
BGTA,BGTA,TQA
BGTL,BGTL,THU
BGTN,BGTN,TQI
BGTQ,BGTQ,XEQ
BGUK,BGUK,JUV
BGUM,BGUM,UMD
BGUQ,BGUQ,JQA
BGUT,BGUT,JUK
BHL,,BHL
BHT,,BHT
BIAR,BIAR,AEY
BIBA,BIBA,
BIBD,BIBD,BIU
BIBF,BIBF,BGJ
BIBL,BIBL,BLO
BIBR,BIBR,
BIBV,BIBV,BXV
BIDV,BIDV,DJU
BIEG,BIEG,EGS
BIFL,BIFL,
BIFM,BIFM,FAG
BIGF,BIGF,GUU
BIGJ,BIGJ,GJR
BIGR,BIGR,GRY
BIGS,BIGS,
BIHE,BIHE,
BIHI,BIHI,
BIHK,BIHK,HVK
BIHL,BIHL,
BIHN,BIHN,HFN
BIHU,BIHU,HZK
BIHZ,BIHZ,
BIIS,BIIS,IFJ
BIKA,BIKA,
BIKE,BIKE,
BIKF,BIKF,KEF
BIKL,BIKL,
BIKP,BIKP,OPA
BIKR,BIKR,SAK
BIMK,BIMK,
BIMM,BIMM,
BIMS,BIMS,
BIND,BIND,
BINF,BINF,NOR
BIRE,BIRE,RHA
BIRF,BIRF,OLI
BIRG,BIRG,RFN
BIRK,BIRK,RKV
BIRL,BIRL,MVA
BIRS,BIRS,
BISF,BISF,
BISI,BISI,SIJ
BISK,BISK,
BISR,BISR,
BISS,BISS,
BIST,BIST,SYK
BISV,BISV,
BITE,BITE,TEY
BITM,BITM,
BITN,BITN,THO
BIVI,BIVI,
BIVM,BIVM,VEY
BIVO,BIVO,VPN
BJE,,BJE
BJQ,,BJQ
BJT,,BJT
BKPR,BKPR,PRN
BMQ,,BMQ
BNF,,BNF
BNV,,BNV
BO-0018,SLCH,
BO-BVL,,BVL
BOV,,BOV
BQV,,BQV
BR-0263,,CJZ
BR-0569,SBVC,VDC
BR-0741,SSOM,
BR-1948,,CMP
BR-2149,,AAI
BR-2152,,ITN
BR-2171,,LEP
BR-2235,,CPU
BR-2236,,CTQ
BR-2757,,APY
BR-3086,,JRN
BR-3133,,STZ
BR-3150,,MTG
BR-ALT,,ALT
BS-0003,MYLM,
BS-NSB,,NSB
BSV,,BSV
BTZ,VTSY,BTZ
BW-0036,FBMA,
BW-0054,FBXX,
BW-0063,FBMM,
BW-HUK,,HUK
BWJ,,BWJ
BXL,,BXL
BY-0001,,TXC
BYA,,BYA
BYL,,BYL
BYV,,BYV
BZ-BCV,,BCV
BZ-BGK,,BGK
BZ-CUK,,CUK
BZ-CYC,,CYC
BZ-CZH,,CZH
BZ-DGA,,DGA
BZ-INB,,INB
BZ-MDB,,MDB
BZ-ORZ,,ORZ
BZ-PND,,PND
BZ-SJX,,SJX
BZ-SPR,,SPR
BZ-SQS,,SQS
BZ-STU,,STU
BZ-SVK,,SVK
BZ-TZA,,TZA
BZB,,BZB
BZM,,BZM
CA-0297,,PFM
CA-0322,,YSV
CA-0446,,YRR
CA-0504,,YMV
CA-0841,,YHC
CA-0923,,YMF
CA92,,PYS
CAB3,,YBW
CAB4,,YTP
CAB7,,CBA
CAC8,,ZNA
CAD4,,YZZ
CAD5,,YMB
CAE3,,YHH
CAE5,,YWS
CAE9,,YBF
CAF6,,YIG
CAG3,,CJH
CAG8,,YPT
CAH2,,ZOF
CAH3,,YCA
CAJ3,,CFQ
CAJ4,,YAA
CAL3,,DGF
CAL4,,JHL
CAL9,,ZTS
CAM3,,DUQ
CAP3,,YHS
CAP7,,YKK
CAQ6,,ZQS
CAQ8,,WPL
CAT4,,XQU
CAT5,,YMP
CAU8,,YRN
CAV5,,YTG
CAV7,,YMU
CAW7,,YAV
CAW8,,YSX
CAX6,,YGG
CAY4,,YTB
CAZ5,,YZA
CBBC,CBBC,ZEL
CBC,,CBC
CBS8,,YPB
CBW4,,YBO
CBX5,,TNS
CBX7,,TUX
CCA6,,YWM
CCD4,,YSO
CCE4,,YBI
CCH4,,YHG
CCK4,,YFX
CCP4,,YHA
CCZ2,,YRG
CD-0001,FZNS,
CD-0037,,KGN
CDK2,,DVK
CDL7,,JOJ
