ident,icao_code,iata_code
CYTZ,CYTZ,YTZ
CYUB,CYUB,YUB
CYUL,CYUL,YUL
CYUT,CYUT,YUT
CYUX,CYUX,YUX
CYUY,CYUY,YUY
CYVB,CYVB,YVB
CYVC,CYVC,YVC
CYVG,CYVG,YVG
CYVK,CYVK,YVE
CYVL,CYVL,YCK
CYVM,CYVM,YVM
CYVO,CYVO,YVO
CYVP,CYVP,YVP
CYVQ,CYVQ,YVQ
CYVR,CYVR,YVR
CYVT,CYVT,YVT
CYVV,CYVV,YVV
CYVZ,CYVZ,YVZ
CYWA,CYWA,YWA
CYWE,CYWE,YFJ
CYWG,CYWG,YWG
CYWH,CYWH,YWH
CYWJ,CYWJ,YWJ
CYWK,CYWK,YWK
CYWL,CYWL,YWL
CYWP,CYWP,YWP
CYWY,CYWY,YWY
CYXC,CYXC,YXC
CYXE,CYXE,YXE
CYXH,CYXH,YXH
CYXJ,CYXJ,YXJ
CYXK,CYXK,YXK
CYXL,CYXL,YXL
CYXN,CYXN,YXN
CYXP,CYXP,YXP
CYXQ,CYXQ,YXQ
CYXR,CYXR,YXR
CYXS,CYXS,YXS
CYXT,CYXT,YXT
CYXU,CYXU,YXU
CYXX,CYXX,YXX
CYXY,CYXY,YXY
CYXZ,CYXZ,YXZ
CYYB,CYYB,YYB
CYYC,CYYC,YYC
CYYD,CYYD,YYD
CYYE,CYYE,YYE
CYYF,CYYF,YYF
CYYG,CYYG,YYG
CYYH,CYYH,YYH
CYYJ,CYYJ,YYJ
CYYL,CYYL,YYL
CYYM,CYYM,YYM
CYYN,CYYN,YYN
CYYQ,CYYQ,YYQ
CYYR,CYYR,YYR
CYYT,CYYT,YYT
CYYU,CYYU,YYU
CYYW,CYYW,YYW
CYYY,CYYY,YYY
CYYZ,CYYZ,YYZ
CYZE,CYZE,YZE
CYZF,CYZF,YZF
CYZG,CYZG,YZG
CYZH,CYZH,YZH
CYZP,CYZP,YZP
CYZR,CYZR,YZR
CYZS,CYZS,YZS
CYZT,CYZT,YZT
CYZU,CYZU,YZU
CYZV,CYZV,YZV
CYZW,CYZW,YZW
CYZX,CYZX,YZX
CZ-0038,LKCU,
CZ-0161,LKLU,
CZAC,CZAC,ZAC
CZAM,CZAM,YSN
CZBA,CZBA,
CZBB,CZBB,YDT
CZBD,CZBD,ILF
CZBF,CZBF,ZBF
CZBM,CZBM,ZBM
CZEE,CZEE,KES
CZEM,CZEM,ZEM
CZFA,CZFA,ZFA
CZFD,CZFD,ZFD
CZFG,CZFG,XPK
CZFM,CZFM,ZFM
CZFN,CZFN,ZFN
CZGF,CZGF,ZGF
CZGI,CZGI,ZGI
CZGR,CZGR,ZGR
CZHP,CZHP,ZHP
CZJ,,CZJ
CZJG,CZJG,ZJG
CZJN,CZJN,ZJN
CZKE,CZKE,ZKE
CZLQ,CZLQ,YTD
CZMD,CZMD,MSA
CZML,CZML,ZMH
CZMN,CZMN,PIW
CZMT,CZMT,ZMT
CZN,,CZN
CZNG,CZNG,XPP
CZNL,CZNL,
CZO,,CZO
CZPB,CZPB,ZPB
CZPC,CZPC,WPC
CZPO,CZPO,ZPO
CZRJ,CZRJ,ZRJ
CZSJ,CZSJ,ZSJ
CZSN,CZSN,XSI
CZST,CZST,ZST
CZSW,CZSW,ZSW
CZTA,CZTA,YDV
CZTM,CZTM,ZTM
CZUC,CZUC,ZUC
CZUM,CZUM,ZUM
CZVL,CZVL,
CZWH,CZWH,XLB
CZWL,CZWL,ZWL
D38,,IUA
D66,,DJN
DA11,DAOM,
DA14,,MQV
DAAB,DAAB,
DAAD,DAAD,BUJ
DAAE,DAAE,BJA
DAAG,DAAG,ALG
DAAJ,DAAJ,DJG
DAAK,DAAK,
DAAM,DAAM,
DAAN,DAAN,
DAAP,DAAP,VVZ
DAAQ,DAAQ,
DAAS,DAAS,QSF
DAAT,DAAT,TMR
DAAV,DAAV,GJL
DAAW,DAAW,
DAAX,DAAX,
DAAY,DAAY,MZW
DAAZ,DAAZ,
DABB,DABB,AAE
DABC,DABC,CZL
DABS,DABS,TEE
DABT,DABT,BLJ
DAEN,DAEN,
DAF,,DAF
DAFH,DAFH,HRM
DAFI,DAFI,
DAH,,DAH
DAO,,DAO
DAOB,DAOB,TID
DAOC,DAOC,
DAOE,DAOE,
DAOF,DAOF,TIN
DAOH,DAOH,
DAOI,DAOI,CFK
DAOL,DAOL,TAF
DAON,DAON,TLM
DAOO,DAOO,ORN
DAOR,DAOR,CBH
DAOS,DAOS,BFW
DAOV,DAOV,MUW
DAOY,DAOY,EBH
DATG,DATG,INF
DATM,DATM,BMW
DAUA,DAUA,AZR
DAUB,DAUB,BSK
DAUE,DAUE,ELG
DAUG,DAUG,GHA
DAUH,DAUH,HME
DAUI,DAUI,INZ
DAUK,DAUK,TGR
DAUL,DAUL,LOO
DAUO,DAUO,ELU
DAUT,DAUT,TMX
DAUU,DAUU,OGX
DAUZ,DAUZ,IAM
DBBB,DBBB,COO
DBBC,DBBC,
DBBD,DBBD,DJA
DBBK,DBBK,KDC
DBBN,DBBN,NAE
DBBO,DBBO,
DBBP,DBBP,PKO
DBBR,DBBR,
DBBS,DBBS,SVF
DBK,,DBK
DBU,,DBU
DCK,,DCK
DDM,,DDM
DE-0004,EDUG,
DE-0043,EDVQ,
DE-0256,EDUP,
DE-0295,EDSM,
DE-0298,EDSD,
DE-0300,EDTA,
DE-0310,EDSF,
DE-0367,EDKS,
DEQ,,DEQ
DEX,WAVD,DEX
DFCA,DFCA,XKY
DFCB,DFCB,
DFCC,DFCC,OUG
DFCD,DFCD,
DFCG,DFCG,
DFCJ,DFCJ,XDJ
DFCK,DFCK,
DFCL,DFCL,XLU
DFCP,DFCP,PUP
DFCR,DFCR,
DFCS,DFCS,
DFEA,DFEA,XBO
DFEB,DFEB,XBG
DFED,DFED,DIP
DFEE,DFEE,DOR
DFEF,DFEF,FNG
DFEG,DFEG,XGG
DFEL,DFEL,XKA
DFEM,DFEM,TMQ
DFEP,DFEP,XPA
DFER,DFER,ARL
DFES,DFES,XSE
DFET,DFET,TEG
DFEZ,DFEZ,XZA
DFFD,DFFD,OUA
DFOA,DFOA,
DFOB,DFOB,BNR
DFOD,DFOD,DGU
DFOG,DFOG,XGA
DFOH,DFOH,
DFON,DFON,XNU
DFOO,DFOO,BOY
DFOR,DFOR,
DFOT,DFOT,TUQ
DFOU,DFOU,XDE
DFOY,DFOY,XAR
DGAA,DGAA,ACC
DGAH,DGAH,
DGLE,DGLE,TML
DGLN,DGLN,
DGLW,DGLW,WZA
DGLY,DGLY,
DGM,,DGM
DGSI,DGSI,KMS
DGSN,DGSN,NYI
DGTK,DGTK,TKD
DHB,,DHB
DHG,,DHG
DHL,,DHL
DIAO,DIAO,ABO
DIAP,DIAP,ABJ
DIAU,DIAU,OGO
DIBC,DIBC,
DIBI,DIBI,BXI
DIBK,DIBK,BYK
DIBN,DIBN,BQO
DIBU,DIBU,BDK
DIDB,DIDB,
DIDK,DIDK,DIM
DIDL,DIDL,DJO
DIGA,DIGA,GGN
DIGL,DIGL,GGO
DIGN,DIGN,BBV
DIKO,DIKO,HGO
DIMN,DIMN,MJC
DIOD,DIOD,KEO
DIOF,DIOF,OFI
DISG,DISG,SEO
DISP,DISP,SPY
DISS,DISS,ZSS
DITB,DITB,TXU
DITM,DITM,TOZ
DIW,,DIW
DIYO,DIYO,ASK
DK-0012,EKAS,
DLR,,DLR
DM2,,DIO
DMDM,DMDM,
DN55,DNEK,
DN56,DNES,
DN57,DNKT,DKA
DNAA,DNAA,ABV
DNAI,DNAI,QUO
DNAK,DNAK,AKR
DNAN,DNAN,
DNAS,DNAS,ABB
DNBB,DNBB,
DNBC,DNBC,BCU
DNBE,DNBE,BNI
DNBI,DNBI,
DNCA,DNCA,CBQ
DNDS,DNDS,
DNEN,DNEN,ENU
DNFB,DNFB,
DNFD,DNFD,
DNGO,DNGO,GMO
DNGU,DNGU,
DNIB,DNIB,IBA
DNIL,DNIL,ILR
DNIM,DNIM,QOW
DNJA,DNJA,
DNJO,DNJO,JOS
DNKA,DNKA,KAD
DNKN,DNKN,KAN
DNMA,DNMA,MIU
DNMK,DNMK,MDI
DNMM,DNMM,LOS
DNMN,DNMN,MXJ
DNPO,DNPO,PHC
DNSO,DNSO,SKO
DNSU,DNSU,QRW
DNYO,DNYO,YOL
DNZA,DNZA,ZAR
DPT,,DPT
DRRA,DRRA,
DRRC,DRRC,
DRRD,DRRD,
DRRE,DRRE,
DRRG,DRRG,
DRRM,DRRM,MFQ
DRRN,DRRN,NIM
DRRP,DRRP,
DRRT,DRRT,THZ
DRRU,DRRU,
DRZA,DRZA,AJY
DRZD,DRZD,
DRZF,DRZF,
DRZG,DRZG,
DRZI,DRZI,
DRZL,DRZL,RLT
DRZM,DRZM,
DRZR,DRZR,ZND
DSG,,DSG
DTKA,DTKA,TBJ
DTMB,DTMB,MIR
DTNH,DTNH,NBE
DTTA,DTTA,TUN
DTTB,DTTB,
DTTD,DTTD,
DTTF,DTTF,GAF
DTTG,DTTG,GAE
DTTI,DTTI,
DTTJ,DTTJ,DJE
DTTR,DTTR,EBM
DTTX,DTTX,SFA
DTTZ,DTTZ,TOE
DVD,,DVD
DWO,,DWO
DXAK,DXAK,
DXDP,DXDP,
DXKP,DXKP,
DXMG,DXMG,
DXNG,DXNG,LRL
DXSK,DXSK,
DXXX,DXXX,LFW
DZ-0046,DAEF,
EAL,,EAL
EBAM,EBAM,
EBAR,EBAR,
EBAS,EBAS,
EBAV,EBAV,
EBAW,EBAW,ANR
EBBR,EBBR,BRU
EBBT,EBBT,
EBCF,EBCF,
EBCI,EBCI,CRL
EBDT,EBDT,
EBGB,EBGB,
EBGG,EBGG,
EBGT,,GNE
EBHN,EBHN,
EBKH,EBKH,
EBKT,EBKT,KJK
EBLE,EBLE,
EBLG,EBLG,LGG
EBMB,EBMB,
EBNM,EBNM,
EBO,,EBO
EBOS,EBOS,OST
EBSG,EBSG,
EBSH,EBSH,
EBSP,EBSP,
EBTN,EBTN,
EBTX,EBTX,
EBTY,EBTY,
EBZH,EBZH,
EBZR,EBZR,OBL
EBZW,EBZW,
EC-0014,SEAK,
EC-0024,SEAW,
EC-0026,SEAT,
EC-0036,SEAN,
EC-0056,SEAA,
EC-0071,SEAP,
EC-MZD,,MZD
EDA,,EDA
EDAB,EDAB,
EDAC,EDAC,AOC
EDAD,EDAD,
EDAE,EDAE,
EDAG,EDAG,
EDAH,EDAH,HDF
EDAI,EDAI,
EDAJ,EDAJ,
EDAK,EDAK,
EDAM,EDAM,
EDAN,EDAN,
EDAO,EDAO,
EDAP,EDAP,
EDAQ,EDAQ,
EDAR,EDAR,
EDAS,EDAS,
EDAT,EDAT,
EDAU,EDAU,IES
EDAV,EDAV,
EDAW,EDAW,
EDAX,EDAX,REB
EDAY,EDAY,
EDAZ,EDAZ,
EDBA,EDBA,
EDBC,EDBC,CSO
EDBE,EDBE,
EDBF,EDBF,
EDBG,EDBG,
EDBH,EDBH,BBH
EDBI,EDBI,
EDBJ,EDBJ,
EDBK,EDBK,
EDBL,EDBL,
EDBM,EDBM,
EDBN,EDBN,FNB
EDBO,EDBO,
EDBP,EDBP,
EDBQ,EDBQ,
EDBR,EDBR,
EDBS,EDBS,
EDBT,EDBT,
EDBU,EDBU,
EDBV,EDBV,
EDBW,EDBW,
EDCG,EDCG,GTI
EDCK,EDCK,KOQ
EDCP,EDCP,PEF
EDDB,EDDB,BER
EDDC,EDDC,DRS
EDDE,EDDE,ERF
EDDF,EDDF,FRA
EDDG,EDDG,FMO
EDDH,EDDH,HAM
EDDK,EDDK,CGN
EDDL,EDDL,DUS
EDDM,EDDM,MUC
EDDN,EDDN,NUE
EDDP,EDDP,LEJ
EDDR,EDDR,SCN
EDDS,EDDS,STR
EDDV,EDDV,HAJ
EDDW,EDDW,BRE
EDEL,EDEL,
EDEP,EDEP,
EDFA,EDFA,
EDFE,EDFE,
EDFH,EDFH,HHN
EDFK,EDFK,
EDFM,EDFM,MHG
EDFP,EDFP,
EDFQ,EDFQ,
EDFZ,EDFZ,
EDGE,EDGE,EIB
EDGL,,ZOE
EDGS,EDGS,SGE
EDGZ,EDGZ,
EDHB,EDHB,
EDHE,EDHE,
EDHF,,IZE
EDHI,EDHI,XFW
EDHK,EDHK,KEL
EDHL,EDHL,LBC
EDHN,EDHN,EUM
EDHO,EDHO,
EDJA,EDJA,FMM
EDKA,EDKA,AAH
EDKV,EDKV,
EDLD,EDLD,
EDLE,EDLE,ESS
EDLI,EDLI,BFE
EDLN,EDLN,MGL
EDLP,EDLP,PAD
EDLS,EDLS,
EDLU,EDLU,
EDLV,EDLV,NRN
EDLW,EDLW,DTM
EDMA,EDMA,AGB
EDML,EDML,QLG
EDMN,EDMN,
EDMO,EDMO,OBF
EDMS,EDMS,RBM
EDNY,EDNY,FDH
EDON,EDON,
EDPH,EDPH,
EDQA,EDQA,
EDQD,EDQD,BYU
EDQE,EDQE,URD
EDQG,EDQG,GHF
EDQM,EDQM,HOQ
EDRB,EDRB,BBJ
EDRH,EDRH,
EDRN,EDRN,
EDRT,EDRT,
EDRY,EDRY,
EDRZ,EDRZ,ZQW
EDSB,EDSB,FKB
EDSP,EDSP,
EDSX,EDSX,
EDTB,EDTB,
EDTF,EDTF,
EDTL,EDTL,LHA
EDVA,EDVA,
EDVE,EDVE,BWE
EDVK,EDVK,KSF
EDWE,EDWE,EME
EDWG,EDWG,AGE
EDWI,EDWI,WVN
EDWJ,EDWJ,JUI
EDWL,EDWL,LGO
EDWO,EDWO,
EDWR,EDWR,BMK
EDWS,EDWS,NOD
EDWU,EDWU,VAC
EDWY,EDWY,NRD
EDWZ,EDWZ,BMR
EDXA,EDXA,
EDXB,EDXB,HEI
EDXF,EDXF,FLF
EDXH,EDXH,HGL
EDXJ,EDXJ,QHU
EDXK,EDXK,
EDXO,EDXO,PSH
EDXP,EDXP,
EDXS,EDXS,
EDXW,EDXW,GWT
EDXY,EDXY,OHR
EE-9281,EERE,
EEAA,EEAA,
EECL,EECL,CHE
EEEI,EEEI,
EEHA,EEHA,
EEJI,EEJI,
EEKA,EEKA,KDL
EEKE,EEKE,URE
EEKI,EEKI,
EEKU,EEKU,
EELM,EELM,
EELU,EELU,
EENA,EENA,
EEPU,EEPU,EPU
EERA,EERA,
EERD,EERD,
EERI,EERI,
EERU,EERU,
EES,HEBR,EES
EESE,EESE,
EETN,EETN,TLL
EETU,EETU,TAY
EEVI,EEVI,
EEVO,EEVO,
EEVP,EEVP,
EEVU,EEVU,
EFET,EFET,ENF
EFHA,EFHA,KEV
EFHE,,HEN
EFHK,EFHK,HEL
EFHV,EFHV,HYV
EFIT,EFIT,KTQ
EFIV,EFIV,IVL
EFJO,EFJO,JOE
EFJY,EFJY,JYV
EFKA,EFKA,KAU
EFKE,EFKE,KEM
EFKI,EFKI,KAJ
EFKJ,EFKJ,KHJ
EFKK,EFKK,KOK
EFKS,EFKS,KAO
EFKT,EFKT,KTT
EFKU,EFKU,KUO
EFLP,EFLP,LPP
EFMA,EFMA,MHQ
EFMI,EFMI,MIK
EFOU,EFOU,OUL
EFPO,EFPO,POR
EFRO,EFRO,RVN
EFSA,EFSA,SVL
EFSI,EFSI,SJY
EFSO,EFSO,SOT
EFTP,EFTP,TMP
EFTU,EFTU,TKU
EFUT,EFUT,UTI
EFVA,EFVA,VAA
EFVR,EFVR,VRK
EFYL,EFYL,YLI
EG-AUE,,AUE
EGAA,EGAA,BFS
EGAB,EGAB,ENK
EGAC,EGAC,BHD
EGAD,EGAD,
EGAE,EGAE,LDY
EGAH,EGAH,
EGAR,EGAR,
EGAT,EGAT,
EGBB,EGBB,BHX
EGBC,EGBC,
EGBD,EGBD,
EGBE,EGBE,CVT
EGBF,EGBF,
EGBG,EGBG,
EGBJ,EGBJ,GLO
EGBK,EGBK,ORM
EGBM,EGBM,
EGBN,EGBN,NQT
EGBO,EGBO,
EGBP,EGBP,GBA
EGCC,EGCC,MAN
EGCJ,EGCJ,
EGDJ,EGDJ,UPV
EGDY,EGDY,YEO
EGEC,EGEC,CAL
EGED,EGED,EOI
EGEF,EGEF,FIE
EGEH,EGEH,WHS
EGEI,EGEI,SKL
EGEL,,COL
EGEN,EGEN,NRL
EGEO,EGEO,OBN
EGEP,EGEP,PPW
EGER,EGER,SOY
EGES,EGES,NDY
EGET,EGET,LWK
EGEW,EGEW,WRY
EGEY,,CSA
EGFE,EGFE,HAW
EGFF,EGFF,CWL
EGFH,EGFH,SWS
EGGD,EGGD,BRS
EGGP,EGGP,LPL
EGGW,EGGW,LTN
EGHC,EGHC,LEQ
EGHE,EGHE,ISC
EGHH,EGHH,BOH
EGHI,EGHI,SOU
EGHJ,EGHJ,BBP
EGHL,EGHL,
EGHQ,EGHQ,NQY
EGHR,EGHR,QUG
EGJA,EGJA,ACI
EGJB,EGJB,GCI
EGJJ,EGJJ,JER
EGKA,EGKA,ESH
EGKB,EGKB,BQH
EGKK,EGKK,LGW
EGKR,EGKR,
EGLC,EGLC,LCY
EGLF,EGLF,FAB
EGLK,EGLK,BBS
EGLL,EGLL,LHR
EGLW,EGLW,
EGMC,EGMC,SEN
EGMD,EGMD,LYX
EGMF,EGMF,
EGNC,EGNC,CAX
EGNH,EGNH,BLK
EGNJ,EGNJ,HUY
EGNL,EGNL,BWF
EGNM,EGNM,LBA
EGNO,EGNO,WRT
EGNR,EGNR,CEG
EGNS,EGNS,IOM
EGNT,EGNT,NCL
EGNV,EGNV,MME
EGNX,EGNX,EMA
EGOS,EGOS,
EGOV,EGOV,VLY
EGOW,EGOW,
EGPA,EGPA,KOI
EGPB,EGPB,LSI
EGPC,EGPC,WIC
EGPD,EGPD,ABZ
EGPE,EGPE,INV
EGPF,EGPF,GLA
EGPH,EGPH,EDI
EGPI,EGPI,ILY
EGPK,EGPK,PIK
EGPL,EGPL,BEB
EGPN,EGPN,DND
EGPO,EGPO,SYY
EGPR,EGPR,BRR
EGPT,EGPT,PSL
EGPU,EGPU,TRE
EGPW,EGPW,
EGQL,EGQL,ADX
EGQS,EGQS,LMO
EGSC,EGSC,CBG
EGSD,EGSD,
EGSF,EGSF,
EGSG,EGSG,
EGSH,EGSH,NWI
EGSI,EGSI,
EGSJ,EGSJ,
EGSL,EGSL,
EGSO,EGSO,
EGSP,EGSP,
EGSQ,EGSQ,
EGSR,EGSR,
EGSS,EGSS,STN
EGST,EGST,
EGSU,EGSU,
EGSV,EGSV,
EGSW,EGSW,
EGSX,EGSX,
EGTB,EGTB,HYC
EGTC,EGTC,
EGTD,EGTD,
EGTE,EGTE,EXT
EGTF,EGTF,
EGTH,EGTH,
EGTK,EGTK,OXF
EGTO,EGTO,RCS
EGTP,EGTP,
EGUB,EGUB,BEX
EGUL,EGUL,LKZ
EGUN,EGUN,MHZ
EGVA,EGVA,FFD
EGVN,EGVN,BZZ
EGVO,EGVO,ODH
EGWN,EGWN,
EGWU,EGWU,NHT
EGXC,EGXC,QCY
EGXG,EGCM,
EGXH,EGXH,BEQ
EGXW,EGXW,WTN
EGYM,EGYM,KNF
EGYP,EGYP,MPN
EGZL,EGZL,
EHAL,EHAL,
EHAM,EHAM,AMS
EHBD,EHBD,
EHBK,EHBK,MST
EHDL,EHDL,
EHDR,EHDR,
EHDV,EHDV,
EHEH,EHEH,EIN
EHGG,EHGG,GRQ
EHGR,EHGR,GLZ
EHKD,EHKD,DHR
EHLE,EHLE,LEY
EHLW,EHLW,LWR
EHRD,EHRD,RTM
EHSE,EHSE,
EHTE,EHTE,
EHTS,EHTS,
EHTW,EHTW,ENS
EHTX,EHTX,
EHVK,EHVK,UDE
EHWO,EHWO,WOE
EIAB,EIAB,
EIAH,EIAH,
EIBA,EIBB,
EIBN,EIBN,BYT
EIBR,EIBR,
EIBT,EIBT,BLY
EICA,EICA,NNR
EICK,EICK,ORK
EICL,EICL,
EICN,EICN,
EIDL,EIDL,CFN
EIDW,EIDW,DUB
EIFR,EIFR,
EIHH,EIHH,
EIIM,EIIM,IOR
EIIR,EIIR,INQ
EIKK,EIKK,KKY
EIKN,EIKN,NOC
EIKY,EIKY,KIR
EILT,EILT,
EIMN,EIMN,IIA
EINN,EINN,SNN
EISG,EISG,SXL
EIWF,EIWF,WAT
EIWT,EIWT,
EJN,ZBEN,EJN
EJT,,EJT
EKAE,EKAE,
EKAF,EKAF,
EKAH,EKAH,AAR
EKAN,EKAN,
EKAO,EKAO,
EKAR,EKAR,
EKAT,EKAT,
EKBH,EKAB,
EKBI,EKBI,BLL
EKCH,EKCH,CPH
EKEB,EKEB,EBJ
EKKA,EKKA,KRP
EKLS,EKLS,BYR
EKMB,EKMB,MRW
EKOD,EKOD,ODE
EKRB,EKRB,
EKRK,EKRK,RKE
EKRN,EKRN,RNN
EKSB,EKSB,SGD
EKSN,EKSN,CNL
EKSP,EKSP,SKS
EKSV,EKSV,SQW
EKTS,EKTS,TED
EKVG,EKVG,FAE
EKVJ,EKVJ,STA
EKYT,EKYT,AAL
ELLX,ELLX,LUX
EMR,,EMR
ENAE,ENAE,
ENAH,ENAH,
ENAL,ENAL,AES
ENAN,ENAN,ANX
ENAR,ENAR,
ENAT,ENAT,ALF
ENBA,ENBA,
ENBL,ENBL,FDE
ENBN,ENBN,BNN
ENBO,ENBO,BOO
ENBR,ENBR,BGO
ENBS,ENBS,BJF
ENBV,ENBV,BVG
ENCN,ENCN,KRS
ENDU,ENDU,BDU
ENEV,ENEV,EVE
ENFB,ENFB,
ENFL,ENFL,FRO
ENGM,ENGM,OSL
ENHA,ENHA,HMR
ENHD,ENHD,HAU
ENHF,ENHF,HFT
ENHK,ENHK,HAA
ENHV,ENHV,HVG
ENKB,ENKB,KSU
ENKL,ENKL,GLL
ENKR,ENKR,KKN
ENLK,ENLK,LKN
ENMH,ENMH,MEH
ENML,ENML,MOL
ENMS,ENMS,MJF
ENNA,ENNA,LKL
ENNM,ENNM,OSY
ENNO,ENNO,NTB
ENOL,ENOL,OLA
ENOV,ENOV,HOV
ENQE,ENQE,
ENQO,ENQO,
ENRA,ENRA,MQN
ENRM,ENRM,RVK
ENRO,ENRO,RRS
ENRS,ENRS,RET
ENRY,ENRY,
ENSB,ENSB,LYR
ENSD,ENSD,SDN
ENSG,ENSG,SOG
ENSH,ENSH,SVJ
ENSK,ENSK,SKN
ENSN,ENSN,
ENSO,ENSO,SRP
ENSR,ENSR,SOJ
ENSS,ENSS,VAW
ENST,ENST,SSJ
ENTC,ENTC,TOS
ENTO,ENTO,TRF
ENVA,ENVA,TRD
ENVD,ENVD,VDS
ENVR,,VRY
ENZV,ENZV,SVG
EPAR,EPAR,
EPBA,EPBA,
EPBB,EPBB,
EPBC,EPBC,
EPBG,EPBG,
EPBK,EPBK,
EPBY,EPBY,BZG
EPCD,EPCD,
EPCE,EPCE,
EPDA,EPDA,
EPDE,EPDE,
EPEL,EPEL,
EPGD,EPGD,GDN
EPGE,EPGE,
EPGI,EPGI,
EPGR,EPGR,
EPIN,EPIN,
EPIR,EPIR,
EPJG,EPJG,
EPKA,EPKA,
EPKK,EPKK,KRK
EPKN,EPKN,
EPKT,EPKT,KTW
EPLB,EPLB,LUZ
EPLL,EPLL,LCJ
EPLY,EPLY,
EPMO,EPMO,WMI
EPMY,EPMY,
EPOD,EPOD,
EPPL,EPPL,
EPPO,EPPO,POZ
EPRA,EPRA,RDO
EPRJ,EPRJ,
EPRP,EPRP,
EPRU,EPRU,
EPRZ,EPRZ,RZE
EPSC,EPSC,SZZ
EPSD,EPSD,
EPSK,EPSK,
EPSN,EPSN,
EPST,EPST,
EPSY,EPSY,SZY
EPTM,EPTM,
EPTO,EPTO,
EPWA,EPWA,WAW
EPWR,EPWR,WRO
EPZG,EPZG,IEG
ERT,,ERT
ES-0190,LELI,
ES-0324,GEHM,
ES-0366,LEGP,
ES-0368,LEVS,
ESAN,ESEN,
ESCF,ESCF,
ESCM,ESCM,
ESDF,ESDF,RNB
ESEB,ESEB,
ESED,ESED,
ESEG,ESEG,
ESEK,ESEK,
ESEL,ESEL,
ESEM,ESEM,
ESES,ESES,
ESET,ESET,
ESEU,ESEU,
ESEV,ESEV,
ESEW,ESEW,
ESEY,ESEY,
ESFA,ESFA,
ESFR,ESFR,
ESFS,ESFS,
ESGA,ESGA,
ESGC,ESGC,
ESGD,ESGD,
ESGE,ESGE,
ESGF,ESGF,
ESGG,ESGG,GOT
ESGH,ESGH,
ESGI,ESGI,
ESGJ,ESGJ,JKG
ESGK,ESGK,
ESGL,ESGL,LDK
ESGM,ESGM,
ESGN,ESGN,
ESGO,ESGO,
ESGP,ESGP,GSE
ESGR,ESGR,KVB
ESGS,ESGS,
ESGT,ESGT,THN
ESGU,ESGU,
ESGV,ESGV,
ESGY,ESGY,
ESHB,ESHB,
ESHC,ESHC,
ESHD,ESHD,
ESHG,ESHG,
ESHJ,ESHJ,
ESHL,ESHL,
ESHM,ESHM,
ESKK,ESKK,KSK
ESKM,ESKM,MXX
ESKN,ESKN,NYO
ESKS,,SCR
ESME,ESME,
ESMK,ESMK,KID
ESML,ESML,
ESMO,ESMO,OSK
ESMQ,ESMQ,KLR
ESMS,ESMS,MMX
ESMT,ESMT,HAD
ESMU,ESMU,
ESMV,ESMV,
ESMX,ESMX,VXO
ESMY,ESMY,
ESMZ,ESMZ,
ESNA,ESNA,
ESND,ESND,EVG
ESNG,ESNG,GEV
ESNK,ESNK,KRF
ESNL,ESNL,LYC
ESNM,ESNM,
ESNN,ESNN,SDL
ESNO,ESNO,OER
ESNP,ESNP,
ESNQ,ESNQ,KRN
ESNR,ESNR,
ESNS,ESNS,SFT
ESNU,ESNU,UME
ESNV,ESNV,VHM
ESNX,ESNX,AJR
ESNY,ESNY,SOO
ESNZ,ESNZ,OSD
ESOE,ESOE,ORB
ESOH,ESOH,HFS
ESOK,ESOK,KSD
ESOW,ESOW,VST
ESPA,ESPA,LLA
ESQO,ESQO,
ESSA,ESSA,ARN
ESSB,ESSB,BMA
ESSD,ESSD,BLE
ESSF,ESSF,HLF
ESSG,ESSG,
ESSK,ESSK,GVX
ESSL,ESSL,LPI
ESSP,ESSP,NRK
ESST,ESST,TYF
ESSU,ESSU,EKT
ESSV,ESSV,VBY
ESSW,ESSW,VVK
ESTA,ESTA,AGH
ESUD,ESUD,SQO
ESUE,ESUE,IDB
ESUP,ESUP,PJA
ESUT,ESUT,HMV
ESVK,ESVK,
ESVM,ESVM,
ESVQ,ESVQ,
ESVS,ESVS,
ET-GLC,,GLC
ET-SHC,,SHC
ETAD,ETAD,SPM
ETAR,ETAR,RMS
ETEB,ETEB,
ETED,ETED,
ETHA,ETHA,
ETHB,ETHB,
ETHC,ETHC,
ETHE,ETHE,
ETHF,ETHF,FRZ
ETHL,ETHL,
ETHN,ETHN,
ETHS,ETHS,
ETIC,ETIC,
ETIH,ETIH,
ETIK,ETIK,ILH
ETIN,,KZG
ETMN,ETMN,FCN
ETND,ETND,
ETNG,ETNG,GKE
ETNH,ETNH,
ETNL,ETNL,RLG
ETNN,ETNN,
ETNS,ETNS,WBG
ETNT,ETNT,
ETNW,ETNW,
ETOU,ETOU,WIE
ETSB,ETSB,
ETSH,ETSH,
ETSI,ETSI,IGS
ETSL,ETSL,
ETSN,ETSN,
ETWM,ETWM,
EVAD,EVAD,
EVAH,EVLI,
EVAP,EVAP,
EVGA,EVGA,
EVHB,EVHB,
EVJC,EVJC,
EVLA,EVLA,LPX
EVLU,EVLU,
EVPA,EVPA,
EVRA,EVRA,RIX
EVRS,EVRS,
EVSM,EVSM,
EVVA,EVVA,VNT
EXI,,EXI
EYBI,EYBI,
EYDR,EYDR,
EYIG,EYIG,
EYKA,EYKA,KUN
EYKL,EYKL,
EYKS,EYKS,
EYKT,EYKT,
EYMA,EYMA,
